userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1066706794,271,2244609,1131,729,-1,1,1000,35,Actor
1078007814,699,4967120,2986,1314,-1,1,1,44,Actor
1093897112,400,11094477,653,30,1,1,5,40,Actor
1101675253,212,10013225,683,1,1,1,1000,31,Actor
1179013242,85,447034,2327,4,1,1,1,44,Actor
1189313175,593,2928962,1050,1,1,1,1000,30,Actor
1191044977,451,45834621,6322,301,-1,1,1000,44,Actor
1192329893,479,7827974,3957,12,-1,1,5,41,Actor
1192503217,28,3715187,428,0,-1,1,1000,13,Actor
1192504607,452,4141017,2216,335,-1,1,1000,40,Actor
1192515960,444,40032402,4874,651,-1,1,1000,46,Actor
1193256103,234,326320,1058,33,-1,1,5,23,Actor
1193256814,327,3222089,2569,27,-1,1,1000,33,Actor
1194026233,153,10667035,4811,42,1,1,1,39,Actor
1195017937,95,1598913,480,291,-1,1,1,20,Actor
1195019732,176,1556135,2436,0,-1,1,5,34,Actor
1195210033,569,26826613,3460,24,1,1,1,43,Actor
1195231190,605,11658297,3564,24,1,1,5,42,Actor
1195242865,580,80176590,3664,541,-1,1,1000,44,Actor
1195379710,530,2591241,1179,3,1,1,1,32,Actor
1195381367,334,7318618,3895,46,-1,1,1000,32,Actor
1195389671,210,26081839,1532,13,1,1,1000,41,Actor
1195813710,366,3695525,1363,361,1,1,5,34,Actor
1196129047,110,3929191,1955,34,-1,1,1,43,Actor
1196235387,225,41972604,5302,16,-1,1,5,34,Actor
1196474352,180,4274105,584,6,1,1,1000,34,Actor
1197069394,719,4229998,4712,103,-1,1,5,40,Actor
1197191492,438,36912419,2233,387,-1,1,1000,44,Actor
1197930844,93,1987806,1528,22,-1,1,1000,29,Actor
1198073405,334,2519613,3040,29,1,1,1000,35,Actor
1199573137,221,7257290,2386,1,1,1,1000,41,Actor
1211441627,251,6092095,5333,2,1,1,2,47,Actor
1212812142,197,56855461,2342,281,1,1,5,38,Actor
1213327341,384,5332800,3613,440,1,1,2,41,Actor
1213395722,649,4494942,2940,58,-1,1,5,31,Actor
1213536224,662,2175027,2372,226,1,1,1000,37,Actor
1214435497,415,62629671,4295,134,1,1,1,48,Actor
1219503342,219,42880,318,2,1,1,1000,33,Actor
1219701947,569,6147575,2179,63,1,1,5,32,Actor
1219847813,293,15291832,1879,1,1,1,1000,40,Actor
1220926753,445,29770640,1719,100,-1,1,1000,42,Actor
1221923871,366,8455877,1572,1577,-1,1,5,38,Actor
1221987632,208,5496067,3786,58,-1,1,1000,36,Actor
1222732820,160,235911,8222,226,-1,1,1000,29,Actor
1223165983,808,2398447,4504,52,1,1,3,36,Actor
1223178222,692,60655289,3638,64,1,1,4,41,Actor
1223762662,248,75902843,6773,46,-1,1,1000,43,Actor
1225907163,430,6425332,1669,2,-1,1,1000,43,Actor
1226244970,706,1295688,1761,3,1,1,1000,34,Actor
1227328177,299,9408050,1126,53,1,1,1000,42,Actor
1227368500,285,25089581,4132,120,-1,1,1,40,Actor
1228183611,549,2096057,2808,16,-1,1,5,30,Actor
1228322981,583,6430111,4786,150,-1,1,1000,42,Actor
1228383497,267,8392350,1581,2,1,1,1000,41,Actor
1228486722,16,40535427,2548,7,-1,1,1000,45,Actor
1228692737,204,1069488,727,14,1,1,5,30,Actor
1229144165,579,6142805,1464,15,1,1,1000,37,Actor
1229549950,296,5057965,3143,119,1,1,1000,35,Actor
1230663070,303,60398467,3426,1647,-1,1,1000,40,Actor
1231067520,629,9672722,3194,155,-1,1,5,41,Actor
1231654104,377,7209407,4492,42,-1,1,1000,39,Actor
1231688837,796,2296230,7995,930,1,1,1,40,Actor
1231920714,345,700598,1766,1123,-1,1,5,33,Actor
1233308293,514,260100,986,40,-1,1,1000,30,Actor
1233614375,253,1403829,2332,44,-1,1,1000,41,Actor
1234452161,134,1902348,1105,3,1,1,1000,36,Actor
1234552257,17,30312419,1056,1,1,1,1000,30,Actor
1234692083,396,25720739,3392,18,1,1,1000,41,Actor
1234739511,258,2225837,14532,22,-1,1,1000,45,Actor
1234867763,380,7496667,457,50,1,1,5,36,Actor
1235576307,477,16967777,4596,78,-1,1,1000,45,Actor
1235733075,394,12157113,3204,24,-1,1,1,27,Actor
1237313773,735,1558935,6,91,-1,1,1000,37,Actor
1239315002,640,4480799,2565,275,-1,1,1,36,Actor
1239368103,472,546247,6140,104,-1,1,1000,38,Actor
1243667280,459,11564151,1538,395,1,1,1000,39,Actor
1245510307,176,1469618,1080,0,1,1,1000,26,Actor
1245758104,234,21233858,3380,247,-1,1,1,41,Actor
1246130430,660,8302390,1468,241,1,1,5,41,Actor
1246229612,300,10716631,1592,1377,-1,1,1000,42,Actor
1246756713,349,2072743,1001,181,1,1,1000,31,Actor
1246850033,141,5559219,729,4,-1,1,3,40,Actor
1248613470,201,1723222,974,13,1,1,1,40,Actor
1249192743,180,552746,2516,16,-1,1,1,33,Actor
1252032243,419,3401481,3553,49,-1,1,5,45,Actor
1252397723,846,7829567,2179,138,1,1,9,44,Actor
1253491601,597,15810522,5629,653,-1,1,1000,41,Actor
1254127560,545,1328651,1251,128,-1,1,1000,32,Actor
1254433995,1052,11456962,4869,188,1,1,1,31,Actor
1254434654,350,999062,1520,27,-1,1,1,21,Actor
1255260021,347,3282191,1558,296,-1,1,1000,38,Actor
1255907130,426,5437649,2647,337,1,1,1000,43,Actor
1256018912,517,1116326,1619,1132,-1,1,1000,30,Actor
1256223644,235,2197660,339,135,-1,1,1,38,Actor
1256857734,492,8185092,3421,15,1,1,1000,40,Actor
1258954655,895,4107186,4679,19,1,1,1000,43,Actor
1259110474,459,60658142,1310,266,-1,1,1000,44,Actor
1260194414,39,6970009,0,7,-1,1,1,14,Actor
1260427471,685,2028083,1310,26,-1,1,1000,41,Actor
1261700994,542,37517084,3041,473,-1,1,1000,44,Actor
