userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
1001154942,1184,2052,3404,269,72.3557,60.8434,0,0,Agriculture
1002513128,74340,33256,30417,28773,90.1327,82.0473,0,0,Agriculture
1002967862,608,598,582,585,60.4996,49.0881,0,0,Agriculture
10032712,344539,96,20617,2906,100.162,85.3176,0,1,Agriculture
1003341768,901,1328,1401,1722,66.7318,58.9915,0,0,Agriculture
100571765,1226,278,745,123,65.2661,60.8106,0,0,Agriculture
10145862,65672,4251,301243,10143,92.4028,92.1894,0,0,Agriculture
101572282,1398,1883,5451,229,73.122,67.7477,0,0,Agriculture
1020927679,994,299,7883,58,71.2402,66.3705,0,0,Agriculture
102122156,2176,983,1791,245,71.6585,60.9285,0,0,Agriculture
102148991,41863,38768,20134,12141,90.1942,85.7578,0,1,Agriculture
1022276042,2063,59,1017,97,60.3192,63.0496,0,0,Agriculture
102320379,1241,3542,1788,22,69.2101,51.2934,0,0,Agriculture
102448827,312569,385,9488,415,100.035,87.1444,0,1,Agriculture
102676514,2381,1890,16637,179,75.0716,63.9721,0,0,Agriculture
102792815,630,639,25262,11676,69.0575,71.4957,0,0,Agriculture
102934998,1881,406,6429,88,74.5324,63.4146,0,0,Agriculture
103095293,12335,8720,170138,14926,82.2768,72.1562,0,0,Agriculture
103163377,707,1084,17776,300,69.3969,63.285,0,0,Agriculture
103606876,43189,372,30031,26560,90.192,89.0988,0,0,Agriculture
103633465,4126,2058,2060,2888,75.8203,67.7999,0,0,Agriculture
1041812562,139267,560,901,641,89.7686,89.9501,0,0,Agriculture
10421232,25274,7771,20672,1786,87.603,75.1296,0,0,Agriculture
104453073,836,825,601,196,62.2118,58.9814,0,0,Agriculture
104630046,97287,2519,4593,0,92.7428,85.4256,0,0,Agriculture
104762919,1143,1018,2336,2298,70.5312,68.5413,0,0,Agriculture
1049015708,25379,14710,3080,5007,86.2284,70.3829,0,0,Agriculture
1050040898,4013,161,12178,1789,78.4447,70.8637,0,0,Agriculture
1050160897,3953,14,3137,30,77.3603,69.0699,0,0,Agriculture
105793727,949,710,66831,2306,70.3978,73.8098,0,0,Agriculture
1058438544,1320,1362,16952,17264,65.8965,68.2791,0,0,Agriculture
105906680,724,547,2246,3778,68.0682,62.4211,0,0,Agriculture
1059285030,437100,1729,50347,17186,96.6073,90.4106,0,0,Agriculture
1059499566,562,649,2535,1896,65.5093,59.9777,0,0,Agriculture
106126257,598,1570,29332,2,68.6617,62.843,0,0,Agriculture
1061328990,9896,4628,8753,1936,82.5543,79.1919,0,0,Agriculture
106213121,1707,1565,3412,1620,73.9586,69.205,0,0,Agriculture
106513347,752,392,777,2833,61.2329,52.9454,0,0,Agriculture
106816456,22602,3534,23570,210,86.1349,72.3291,0,0,Agriculture
107156276,1161389,427,155917,31515,106.658,111.762,0,1,Agriculture
107183972,4673,211,10451,810,78.3332,78.4615,0,0,Agriculture
1073086135,26808,6082,40334,76096,86.5161,75.6291,0,0,Agriculture
1074060390,1216,859,659,72,64.2224,63.8692,0,0,Agriculture
107433320,2276,2441,1785,275,71.6927,64.5502,0,0,Agriculture
107534936,3555,802,4918,31,77.5623,70.6983,0,0,Agriculture
107705239,90978,4195,12346,2303,92.9073,81.2198,0,0,Agriculture
1077642344,1249,1882,25614,672,69.5482,53.441,0,0,Agriculture
107873039,648,1353,13808,1519,66.235,58.3069,0,0,Agriculture
108001670,154567,342,6720,5371,96.4267,85.7226,0,1,Agriculture
1080995629,224442,634,14122,9409,98.399,104.99,0,0,Agriculture
108102397,2605,1687,5304,1018,75.5346,75.0027,0,0,Agriculture
1081229456,629,948,3346,3226,67.6627,61.0841,0,0,Agriculture
108360875,30135,1870,16262,718,88.5479,81.1934,0,1,Agriculture
108741809,1392,1898,535,1,58.9009,39.777,0,0,Agriculture
108944698,8126,683,3075,781,81.3583,73.5465,0,0,Agriculture
109217863,10047,219,108943,300,82.7111,64.5049,0,0,Agriculture
1093428331,50930,371,3299,12,90.4961,83.1773,0,1,Agriculture
109734471,574,285,37949,2650,68.1413,65.72,0,0,Agriculture
1102239144,10146,238,67670,747,64.3726,36.1126,0,0,Agriculture
110296554,980,594,2305,152,69.411,52.2013,0,0,Agriculture
110576582,1657,133,24483,0,61.2805,40.1669,0,0,Agriculture
1109053896,11948,280,889,0,76.1803,65.1385,0,1,Agriculture
1111569018,522,357,1021,1954,62.1042,54.8316,0,0,Agriculture
11120912,13061,1376,2968,321,83.8946,78.203,0,0,Agriculture
1115374884,6259,5812,7908,1196,76.8967,62.2612,0,0,Agriculture
1118103763,1082,1026,39960,39341,54.3739,38.7167,0,0,Agriculture
1119314575,1386,2225,1203,359,67.8456,62.2321,0,0,Agriculture
1120501171,734,1194,2837,1211,69.193,71.0775,0,0,Agriculture
11229162,21487,71,9270,0,85.6785,78.0504,0,0,Agriculture
112426154,452520,11,129662,390,97.7108,77.6717,0,1,Agriculture
112702065,571,1206,1118,57,63.3446,52.6332,0,0,Agriculture
112710287,4665,731,3466,2010,79.2646,73.2609,0,1,Agriculture
112849715,2985,2849,6991,2090,76.2863,63.6235,0,0,Agriculture
1129066232,2004,2760,4368,4119,74.149,69.2238,0,0,Agriculture
112996607,2606,473,24742,6068,76.1692,77.2106,0,0,Agriculture
113025021,14559,2811,122092,65,84.5907,73.4419,0,0,Agriculture
113046867,191517,7,71103,55,97.1661,70.6071,0,1,Agriculture
113073031,657,429,26064,1676,68.8537,64.6024,0,0,Agriculture
113553451,64947,4338,28508,2510,86.3286,75.1508,0,0,Agriculture
1136192852,639,2535,4657,798,68.155,55.3563,0,0,Agriculture
113703373,1683,527,101735,9037,73.9176,64.4885,0,0,Agriculture
114006697,671,332,32997,12030,68.9252,64.8543,0,0,Agriculture
114333609,3002,3424,92005,124,77.0335,70.6016,0,0,Agriculture
114906002,2193,2857,4257,1818,75.5057,71.6071,0,0,Agriculture
1150563324,651,937,1714,1294,66.2296,57.6334,0,0,Agriculture
115126477,4301,1226,12436,10719,78.8459,73.4944,0,0,Agriculture
1156777034,1283,138,819,25,65.964,62.2988,0,0,Agriculture
115693115,23601,398,21861,54,84.3424,74.4,0,0,Agriculture
1158026587,1740,2875,2345,9427,72.7233,69.8064,0,0,Agriculture
116221921,952,622,812,170,63.189,48.429,0,0,Agriculture
116469425,147639,2692,51354,1745,94.8335,82.847,0,1,Agriculture
116480037,2207,2698,3019,800,75.0609,66.4967,0,0,Agriculture
11688082,31654,2014,195018,97604,88.7667,78.0982,0,0,Agriculture
116955907,752,377,2051,24,67.2999,62.2854,0,0,Agriculture
1171758416,4577,3195,2547,2360,77.9626,73.8633,0,0,Agriculture
117362365,6717,2958,7098,2462,79.795,69.4772,0,0,Agriculture
117558102,789,1903,778,1037,61.8794,51.1821,0,0,Agriculture
1175964512,7509,8101,5526,42,81.6325,72.0045,0,0,Agriculture
117636835,1925,323,6610,2819,74.5289,81.2682,0,0,Agriculture
1176447480,1366,1154,4948,324,71.0085,61.8339,0,0,Agriculture
117666012,776804,495,24502,1601,104.828,92.6544,0,1,Agriculture
118221824,46548,180,673,365,82.807,77.212,0,1,Agriculture
1182382878,32783,65,2998,3019,88.6129,87.8785,0,0,Agriculture
1183056852,2186,576,1202,311,69.5262,64.1372,0,0,Agriculture
1183273422,1018518,284,3908,7640,105.137,95.8205,0,1,Agriculture
1184678569,2126,5000,560,980,64.2364,47.715,0,0,Agriculture
119049214,135063,2610,17603,3119,96.0792,86.7536,0,0,Agriculture
1193311957,20310,1036,73204,126,85.6211,72.5663,0,0,Agriculture
119954789,973,3584,1252,46,65.5185,61.0582,0,0,Agriculture
1200378121,6753,646,8768,12488,80.4027,77.0327,0,0,Agriculture
1202031524,690,870,3642,4227,68.7824,67.4814,0,0,Agriculture
1203548048,4417,1867,3700,1039,78.9167,73.0624,0,0,Agriculture
120419424,3865,163,1572,253,74.4337,63.8575,0,0,Agriculture
1204240428,16654,1284,7696,5570,85.2224,76.456,0,1,Agriculture
120432706,4759,718,2520,101,78.1157,72.3467,0,0,Agriculture
1205544260,1703,3082,4283,4335,73.6632,70.3381,0,0,Agriculture
120567093,2283,2234,6197,7123,74.4514,66.348,0,0,Agriculture
120620364,11254,10762,11378,2226,81.8439,76.5126,0,0,Agriculture
1209319826,2887,145,4918,770,76.5889,71.3827,0,0,Agriculture
121248591,2099,2081,1906,667,71.1239,59.5783,0,0,Agriculture
1214105970,2933,723,2772,3222,75.0237,69.1788,0,0,Agriculture
121723836,3289,2125,2522,17,71.5534,47.4671,0,0,Agriculture
121750689,5072,698,1628,755,76.246,65.7962,0,1,Agriculture
1219409779,2827,561,13465,26,76.6412,69.7072,0,0,Agriculture
122511694,843,822,1485,1546,66.8438,66.0099,0,0,Agriculture
122530324,13058,1837,2003,702,80.9061,79.1786,0,0,Agriculture
122663997,255892,1552,30437,15626,99.0386,91.6332,0,0,Agriculture
122854562,31813,7245,20020,25163,88.7013,76.1333,0,0,Agriculture
123017975,1493,576,151312,8083,72.8628,68.2467,0,0,Agriculture
123112526,691,737,1925,47,67.0786,54.4715,0,0,Agriculture
1235084840,1198,264,34045,9296,72.2118,66.7255,0,0,Agriculture
12370822,1249,142,12987,44,58.0421,29.8882,0,0,Agriculture
123713624,5867,16,3285,854,74.4015,68.9126,0,0,Agriculture
123737607,595,1620,3059,4295,68.1398,58.203,0,0,Agriculture
