userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1001628504,245,369770,710,1,1,1,3,30,CEO
1005281677,1349,33406,6,1,1,1,3,22,CEO
1005752501,506,162586,3449,1,1,1,3,25,CEO
1007343817,503,2100160,1496,1,1,1,3,41,CEO
1009748597,327,1719018,2634,1,1,1,3,35,CEO
1018356553,776,126291,11515,1,-1,1,3,31,CEO
1026183134,333,326989,683,1,-1,1,3,43,CEO
1028094453,781,19421,17850,1,1,1,3,29,CEO
103500,1991,41625,675,1,1,1,3,25,CEO
1035973810,252,21411,2691,1,1,1,3,23,CEO
1038566945,1385,59976,2520,1,1,1,3,31,CEO
1039363835,321,94015,538,1,1,1,3,17,CEO
1039401071,1543,33421,8356,1,1,1,3,24,CEO
1041148924,244,54399,3267,1,1,1,3,19,CEO
1041583537,473,78207,698,1,1,1,3,17,CEO
1042820560,2000,115744,6804,1,1,1,3,27,CEO
1045455790,1177,35899,5082,1,1,1,3,28,CEO
1046193337,700,143932,9830,1,1,1,3,29,CEO
1048013470,1726,74871,6814,1,1,1,3,20,CEO
1053099491,516,126230,3956,1,1,1,3,39,CEO
1055936423,570,58335,29,1,1,1,3,23,CEO
1063335630,617,43222,1125,1,1,1,3,21,CEO
1067999454,2153,523149,14591,1,1,1,3,38,CEO
1068339401,1599,31545,7478,1,1,1,3,25,CEO
1071453831,638,12560,2628,1,1,1,3,28,CEO
1076087151,127,12809,1105,1,1,1,3,43,CEO
1080230567,1753,45883,6192,1,1,1,3,32,CEO
1080538945,1824,180449,2635,1,1,1,3,27,CEO
1084892351,950,13281,6851,1,1,1,3,32,CEO
1094422483,1996,113574,2746,1,1,1,3,20,CEO
1094499825,1540,84040,8343,1,1,1,3,37,CEO
1096121377,2822,154443,5824,1,1,1,3,45,CEO
1097157853,583,128166,8126,1,1,1,3,27,CEO
1101208850,344,267937,1315,1,1,1,3,21,CEO
1102261200,1370,33006,9936,1,1,1,3,27,CEO
1103388360,1138,136301,2784,1,1,1,3,25,CEO
1106408171,1473,53624,3385,1,1,1,3,38,CEO
1106587564,1064,6172134,1457,1,1,1,3,30,CEO
1106758220,1425,142546,3254,1,1,1,3,37,CEO
1107198435,153,521009,236,1,-1,1,3,14,CEO
1108613250,254,41882,1493,1,1,1,3,36,CEO
1109587005,2017,61358,7252,1,1,1,3,33,CEO
1110411735,251,2593701,2689,1,1,1,3,44,CEO
1134486262,1450,15472,8967,1,1,1,3,27,CEO
1139210517,1484,144119,1550,1,1,1,3,16,CEO
1157147673,150,356357,1854,1,1,1,3,36,CEO
1158229952,120,110155,4395,1,-1,1,3,41,CEO
1159998102,260,26119,3419,1,1,1,3,35,CEO
1162301500,569,202953,1579,1,-1,1,3,14,CEO
1165079767,929,73985,3551,1,1,1,3,33,CEO
1171136322,107,24510,1636,1,1,1,3,22,CEO
1176219967,840,28047,512,1,1,1,3,19,CEO
1178443393,1147,21746,16425,1,1,1,3,36,CEO
1180754180,229,34573,6208,1,1,1,3,29,CEO
1184360955,1510,50325,3590,1,1,1,3,33,CEO
1196267795,429,595178,1239,1,1,1,3,28,CEO
1197219380,436,37860,3529,1,1,1,3,29,CEO
1197890497,409,4501011,11004,1,1,1,3,40,CEO
1200139367,430,27439,1782,1,1,1,3,19,CEO
1211639421,146,179322,4899,1,1,1,3,48,CEO
1212708185,1078,163214,24029,1,1,1,3,27,CEO
1215131713,1300,27503,4912,1,1,1,3,21,CEO
1215323877,409,12725,552,1,1,1,3,22,CEO
1216265283,1141,161682,9826,1,1,1,3,40,CEO
1216713853,313,51842,1784,1,-1,1,3,27,CEO
1216893921,517,36546,7330,1,1,1,3,26,CEO
1218293584,977,250309,1838,1,1,1,3,17,CEO
1219509730,504,20001,1215,1,1,1,3,35,CEO
1222029033,3018,116768,14032,1,1,1,3,47,CEO
1222218067,640,516069,4825,1,1,1,3,36,CEO
1223270024,1134,36748,2920,1,1,1,3,32,CEO
1226799182,477,429363,1606,1,-1,1,3,46,CEO
1227107195,791,34953,5129,1,-1,1,3,28,CEO
1228988801,97,32916,3855,1,1,1,3,40,CEO
1230741054,1867,39156,3315,1,-1,1,3,38,CEO
1231305824,1884,55000,1915,1,1,1,3,24,CEO
1233004137,113,20485,4363,1,-1,1,3,37,CEO
1240261007,1539,23606,16235,1,1,1,3,35,CEO
1243861097,98,1188083,10818,1,1,1,3,46,CEO
1246289862,152,119884,37,1,1,1,3,11,CEO
1246346520,3086,78223,8111,1,1,1,3,39,CEO
1247925925,509,485965,1808,1,1,1,3,22,CEO
1248270665,1443,13284,3317,1,1,1,3,33,CEO
1248577183,906,124110,2350,1,1,1,3,25,CEO
1249868373,880,170247,1905,1,-1,1,3,23,CEO
1250097710,938,125814,3858,1,1,1,3,41,CEO
1251600717,2796,469294,6970,1,1,1,3,29,CEO
1254557877,498,77790,5891,1,-1,1,3,31,CEO
1254954513,789,115238,2898,1,1,1,3,22,CEO
1256177501,1272,54339,12404,1,1,1,3,37,CEO
1256311937,848,147610,3253,1,-1,1,3,33,CEO
1257330471,1265,15867,8172,1,1,1,3,40,CEO
1257360030,1382,314458,7095,1,1,1,3,43,CEO
1258389604,878,32587,7716,1,1,1,3,43,CEO
1259514982,1616,14572,9140,1,1,1,3,39,CEO
1259566433,990,41500,3441,1,-1,1,3,20,CEO
1259763227,4819,526034,763,1,1,1,3,33,CEO
1260029862,963,167516,5410,1,1,1,3,33,CEO
1260315440,1567,11608,4308,1,1,1,3,32,CEO
1263658763,808,178452,18428,1,1,1,3,41,CEO
1265057942,94,4291680,4414,1,-1,1,3,44,CEO
1265695842,2129,334479,8296,1,1,1,3,38,CEO
1265810431,2315,55079,3281,1,1,1,3,36,CEO
1266334070,586,290267,2947,1,1,1,3,34,CEO
1267264905,613,21825,845,1,-1,1,3,24,CEO
1267771180,643,32477,737,1,1,1,3,27,CEO
1269284590,1988,73502,28436,1,1,1,3,36,CEO
1270235015,378,123760,23823,1,1,1,3,48,CEO
1270644375,1279,69436,1876,1,1,1,3,34,CEO
1272560122,949,45744,2052,1,1,1,3,21,CEO
1275528982,562,32880,473,1,-1,1,3,37,CEO
1276737990,1697,96045,7354,1,1,1,3,42,CEO
1283267302,935,216645,1908,1,1,1,3,45,CEO
1283366434,573,18807,2243,1,1,1,3,21,CEO
1285902371,309,33467,130,1,-1,1,3,43,CEO
1288858275,1760,19319,8072,1,1,1,3,21,CEO
1292611587,421,18858,903,1,1,1,3,35,CEO
1294830503,1309,327670,9785,1,1,1,3,47,CEO
1295674790,426,1575374,15392,1,1,1,3,48,CEO
1296836833,635,35660,552,1,-1,1,3,39,CEO
1297023905,581,28382,5741,1,1,1,3,30,CEO
1309028787,216,202132,33010,1,1,1,3,48,CEO
1309056955,685,30886,7670,1,-1,1,3,42,CEO
1310393894,1469,16621,1344,1,1,1,3,40,CEO
1317758092,3879,878162,64171,1,1,1,3,47,CEO
1319508467,81,438956,11422,1,1,1,3,29,CEO
1319542477,522,22769,4746,1,1,1,3,39,CEO
1321674855,84,163099,10579,1,1,1,3,20,CEO
1337441172,776,282732,4108,1,-1,1,3,41,CEO
1344899735,754,25452,9142,1,1,1,3,40,CEO
1347949163,396,891214,7101,1,1,1,3,35,CEO
1353538765,312,23444,3682,1,1,1,3,31,CEO
1359965445,2095,39215,22547,1,1,1,3,37,CEO
1360746095,100,396485,659,1,1,1,3,13,CEO
1362827413,250,42972,8912,1,1,1,3,29,CEO
1369925733,1882,202531,6479,1,1,1,3,40,CEO
1371384623,1397,23984,7419,1,1,1,3,41,CEO
1375064863,965,974976,13157,1,1,1,3,48,CEO
1390125884,1619,14706,12658,1,1,1,3,22,CEO
1391851522,1012,16867,1602,1,-1,1,3,22,CEO
1392968862,402,2684096,1903,1,1,1,3,25,CEO
1400000521,2122,90692,21566,1,1,1,3,47,CEO
1400217567,1120,163459,2648,1,1,1,3,32,CEO
1400241473,723,80711,5011,1,1,1,3,37,CEO
1400731563,839,13748,3858,1,1,1,3,27,CEO
1400778087,1832,261023,3432,1,1,1,3,22,CEO
1400941374,2007,16897,287,1,1,1,3,26,CEO
1401154487,496,971622,27,1,1,1,3,22,CEO
1401219187,1086,52914,16266,1,1,1,3,47,CEO
1401313454,2275,10833,13723,1,-1,1,3,48,CEO
1401365574,869,25139,731,1,1,1,3,16,CEO
1401770055,640,23602,7325,1,-1,1,3,32,CEO
1402876321,231,187963,695,1,1,1,3,18,CEO
1403196873,296,80166,218,1,1,1,3,21,CEO
1404709514,487,38584,2023,1,1,1,3,24,CEO
1404908664,169,18083,590,1,1,1,3,10,CEO
1404949082,1429,20065,6521,1,1,1,3,29,CEO
1405188021,213,16925,9681,1,1,1,3,30,CEO
1405796785,887,26466,3148,1,1,1,3,23,CEO
1406829185,480,45349,617,1,1,1,3,17,CEO
1407359677,1505,122143,5650,1,1,1,3,22,CEO
1409018205,2024,202643,23969,1,1,1,3,43,CEO
1411340100,3048,10698,1360,1,1,1,3,31,CEO
1411890351,988,507245,2587,1,1,1,3,31,CEO
1412068867,292,28566,4132,1,1,1,3,33,CEO
1412702230,621,155559,5046,1,1,1,3,33,CEO
1418157564,1144,61102,16254,1,1,1,3,35,CEO
1421544843,3233,65958,7150,1,1,1,3,42,CEO
1421623382,495,157564,1526,1,1,1,3,32,CEO
1422888395,372,10842,2363,1,1,1,3,29,CEO
1432376132,1360,22993,2124,1,1,1,3,18,CEO
1443066650,1304,56152,2736,1,1,1,3,34,CEO
1444650824,255,115492,276,1,1,1,3,26,CEO
1450393263,554,10468,10815,1,1,1,3,46,CEO
1453372141,1671,503029,5600,1,1,1,3,47,CEO
1454113861,2554,60386,10026,1,1,1,3,41,CEO
1458028210,1042,106756,15193,1,1,1,3,30,CEO
1458716860,167,27065,302,1,1,1,3,18,CEO
1458974581,917,8400,2339,1,1,1,3,29,CEO
1462683852,487,155396,10507,1,1,1,3,30,CEO
1463256471,963,70715,2862,1,1,1,3,27,CEO
1463354504,824,163514,6187,1,-1,1,3,38,CEO
1463960310,841,16293,1822,1,1,1,3,27,CEO
1465136035,546,1147155,8126,1,1,1,3,39,CEO
1477522382,502,37373,3587,1,1,1,3,38,CEO
1478235420,558,21411,2644,1,1,1,3,30,CEO
1486894350,1424,40598,10082,1,1,1,3,37,CEO
1494721357,1997,738480,5645,1,1,1,3,37,CEO
1496809985,808,15001,16931,1,-1,1,3,40,CEO
1496813162,928,84874,5494,1,1,1,3,29,CEO
