userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1013449064,513,183004,3962,1,-1,1,0,35,Director
1013851774,997,7255,5014,1,-1,1,0,28,Director
1018021102,472,704841,2448,1,1,1,0,39,Director
1031595904,1008,12625,1160,1,1,1,0,18,Director
1032697364,1223,24927,4360,1,1,1,0,34,Director
1033212031,1299,70267,17522,1,1,1,0,31,Director
1036042871,1620,2534,881,1,1,1,0,20,Director
1049515980,1243,148700,6162,1,1,1,0,36,Director
1052767975,833,405116,5376,1,1,1,0,31,Director
1057227381,563,11966,368,1,1,1,0,17,Director
1065370197,272,284578,184,1,1,1,0,21,Director
1067166161,551,36216,2148,1,1,1,0,31,Director
1068235035,468,31018,3801,1,-1,1,0,35,Director
1069543972,864,764292,3483,1,1,1,0,41,Director
1080807495,677,1771730,8544,1,1,1,0,48,Director
1082090702,703,10863,1322,1,1,1,0,22,Director
1095559413,422,25422,3301,1,1,1,0,32,Director
1098502293,803,5390,5377,1,1,1,0,22,Director
1099315173,2087,18659,14626,1,1,1,0,33,Director
1113022922,117,130857,2421,1,1,1,0,34,Director
1118704012,1810,96535,38255,1,1,1,0,48,Director
1119314742,381,6785,157,1,1,1,0,25,Director
1120630263,654,188755,12139,1,1,1,0,48,Director
1145266801,591,75388,7303,1,1,1,0,45,Director
1153433155,160,169267,698,1,1,1,0,26,Director
1154276995,799,5754,3328,1,1,1,0,34,Director
1156928073,2472,38277,7904,1,1,1,0,40,Director
1164174510,978,204933,10144,1,1,1,0,26,Director
1171011303,995,52258,1523,1,1,1,0,32,Director
1171505222,770,10963,170,1,1,1,0,17,Director
1172967345,823,11993,7675,1,1,1,0,21,Director
1188552450,237,40726982,1378,1,1,1,0,45,Director
1190486384,1097,8747,5889,1,1,1,0,29,Director
1192148495,175,1854748,1415,1,1,1,0,38,Director
1196248902,359,74767,316,1,1,1,0,23,Director
1196627582,842,131073,21890,1,-1,1,0,39,Director
1197873447,939,6014,171,1,1,1,0,18,Director
1199425900,2028,3808,696,1,1,1,0,12,Director
1199844552,983,3346,1071,1,1,1,0,17,Director
1200161971,626,5130,5723,1,1,1,0,32,Director
1201573204,539,416398,5235,1,1,1,0,42,Director
1202354820,354,28379,957,1,1,1,0,32,Director
1212040547,2298,567777,13367,1,1,1,0,35,Director
1212416110,1779,89781,7526,1,1,1,0,23,Director
1213332710,2011,9542,5865,1,1,1,0,27,Director
1213600242,895,100784,2210,1,1,1,0,41,Director
1214098484,88,131313,1477,1,1,1,0,39,Director
1215131765,547,97540,1276,1,-1,1,0,32,Director
1216753291,670,5990,2769,1,1,1,0,30,Director
1217651853,618,3542,3638,1,1,1,0,17,Director
1218217554,848,7100,2431,1,1,1,0,29,Director
1218309230,376,2606,736,1,1,1,0,18,Director
1219459467,372,1408273,920,1,1,1,0,31,Director
1221400493,1913,69968,33276,1,1,1,0,39,Director
1224529374,1588,502900,2262,1,-1,1,0,23,Director
1227864093,309,103629,393,1,1,1,0,21,Director
1229506857,1017,2266,1455,1,1,1,0,30,Director
1229878863,44,107870,118,1,1,1,0,28,Director
1231054942,610,120517,2110,1,1,1,0,33,Director
1232793635,285,169417,10406,1,1,1,0,38,Director
1232839044,966,8213,648,1,1,1,0,25,Director
1233187361,351,211471,17622,1,1,1,0,42,Director
1233541110,565,38917,2928,1,-1,1,0,35,Director
1233617290,230,159529,996,1,1,1,0,41,Director
1234383407,465,30342,4163,1,1,1,0,39,Director
1234853791,1899,77974,4802,1,1,0,0,32,Director
1237348155,1391,59445,3159,1,1,1,0,20,Director
1237474882,737,14273,9935,1,-1,1,0,30,Director
1237670845,863,122281,3369,1,1,1,0,37,Director
