userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
100024370,13194,275,70142,14684,84.2894,80.063,0,1,Economy
1001995633,562,355,973,200,61.6772,50.5753,0,0,Economy
100454563,16359,4,38535,0,72.7518,49.2276,0,0,Economy
1004570624,1782,1465,3785,148,73.6216,59.7461,0,0,Economy
100517876,3028,49,757,107,69.0719,65.1666,0,0,Economy
100685198,614,1426,6940,2867,68.7173,65.5965,0,0,Economy
1007896634,1221,2980,786,39,62.6273,48.8833,0,0,Economy
101168460,24300,21418,23933,112,76.123,46.6255,0,0,Economy
10136262,69447,45,1757,0,87.0012,57.6501,0,0,Economy
1013861653,2228,1963,3221,301,75.174,70.7389,0,0,Economy
1014634303,204613,126,39348,7,85.3944,63.5177,0,1,Economy
101487396,1750,510,1581,74,70.4604,66.9165,0,0,Economy
101766184,13995,448,7123,3,82.6072,72.5432,0,0,Economy
101781973,8236,201,10217,464,76.5378,70.3568,0,0,Economy
101784775,3310,3163,49550,1,64.7434,33.0949,0,0,Economy
101823458,1822,2006,758,1,62.7894,32.0769,0,0,Economy
101848693,35485,541,8665,114,88.1461,88.0888,0,0,Economy
1018730376,8751,536,5009,12371,80.8685,71.0741,0,0,Economy
1023838620,1964,357,767,136,64.9746,45.5339,0,0,Economy
1024125008,14244,870,1676,269,81.5464,74.7833,0,1,Economy
102475599,4354,1290,15579,15998,78.8703,76.4376,0,0,Economy
1025106169,8769,285,3802,0,69.6473,55.4252,0,0,Economy
102512809,998,1395,1784,6,64.7737,47.8968,0,0,Economy
102527566,31515,51,43181,3456,88.6426,78.8965,0,0,Economy
102687069,1509,1171,6462,421,73.1808,65.2086,0,0,Economy
102773464,145254,4,4773,0,83.6766,66.2089,0,1,Economy
1028524302,690,1472,1212,21,64.5836,53.2083,0,0,Economy
1030111873,588,2808,21980,105,56.1366,36.3925,0,0,Economy
103403981,1059,1534,26806,80,65.0362,41.4299,0,0,Economy
1037972209,5577,1517,12825,5240,80.0191,82.8837,0,0,Economy
1040286912,40459,116,2285,0,84.992,77.037,0,0,Economy
1040635248,539,1897,7733,6229,65.5372,53.2457,0,0,Economy
104195730,11500,734,2191,387,81.1233,75.1424,0,0,Economy
104237736,492660,113,23569,125,102.548,92.811,0,1,Economy
104257356,12240,998,81992,25198,84.0117,79.6771,0,1,Economy
104263696,141990,86,109052,884,90.2743,66.5345,0,1,Economy
1043357348,1240,1621,25951,57,59.8339,36.4252,0,0,Economy
104509652,95502,3826,48583,1139,90.6842,71.9665,0,1,Economy
104521047,125154,301,42548,18,82.903,60.9194,0,0,Economy
104712573,9210,261,4659,184,82.3646,74.5336,0,1,Economy
104868823,8258,1171,834,11,75.2799,63.4642,0,0,Economy
104886038,2100,924,4795,243,72.7879,62.9737,0,0,Economy
104952689,42924,2606,89379,20691,90.3057,79.2513,0,1,Economy
1051053836,66373,693,5573,4558,92.2367,87.0374,0,1,Economy
105163813,8421,855,3932,865,82.0997,81.5291,0,1,Economy
105267145,34345,493,9598,278,88.5167,87.0185,0,0,Economy
1055221626,4198,22,36861,8084,65.9509,53.5099,0,0,Economy
1056313532,888,2405,2217,1204,69.0704,58.0531,0,0,Economy
105691735,2170,2297,16946,4,62.6526,33.6065,0,0,Economy
1058710904,1227,1327,6844,1,63.3497,44.7361,0,0,Economy
105926515,3496,564,2998,1357,77.4229,81.8969,0,0,Economy
1060723748,515,1400,606,200,58.8709,47.3517,0,0,Economy
106148504,2698,3842,5811,521,73.5771,60.4736,0,0,Economy
106285128,1074,1442,9919,624,64.0951,40.673,0,0,Economy
106425549,6825,2334,3889,95,77.1176,61.6783,0,0,Economy
106434113,3335,600,5255,318,74.9,63.2873,0,0,Economy
1064700308,27642,777,30431,16425,86.9158,81.0133,0,0,Economy
106511214,745,1505,2217,3848,68.1754,66.3011,0,0,Economy
106639813,53527,203,20686,14,87.3327,73.1543,0,1,Economy
106666067,2101,2430,2384,1,62.9691,31.9613,0,0,Economy
106669711,645315,1143,124879,407,102.646,91.5146,0,1,Economy
106685924,2510,280,1479,7,72.226,66.5131,0,0,Economy
106725205,8560,281,101340,1627,81.7787,78.8124,0,0,Economy
106820363,3744,105,6871,112,74.5382,74.6472,0,0,Economy
106878438,26566,402,4754,476,87.8912,85.6956,0,1,Economy
106900589,41999,5950,17909,3711,89.2824,79.229,0,1,Economy
1070178836,502,622,779,30,58.5865,41.2979,0,0,Economy
107078762,5616,1120,673,75,72.3504,67.5819,0,1,Economy
1070865456,1003,1103,1834,623,67.9396,63.8251,0,0,Economy
1073670792,878,2028,2975,0,70.0748,51.238,0,0,Economy
107420329,851,718,1687,93,65.9752,51.8972,0,0,Economy
1076214158,667,749,1631,102,66.0376,61.1832,0,0,Economy
1076854057,1039,2143,2980,0,70.952,55.5614,0,0,Economy
1079692352,1091,2099,721,120,64.1506,52.9136,0,0,Economy
