userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
10073022,16407,11363,11280,8222,82.588,71.3445,0,0,Education
1011820669,4049,431,1834,1122,75.5463,69.844,0,0,Education
1012118298,592,1100,1079,91,63.3671,57.2018,0,0,Education
1018453507,734,2271,2455,2636,67.7784,66.6653,0,0,Education
102167281,8554,1165,8495,477,82.2023,72.0591,0,0,Education
1024022088,637,478,1527,569,64.8787,59.5078,0,0,Education
102891662,5298,5284,5864,2191,79.4967,79.2629,0,0,Education
1043360450,2142,2617,14011,1107,74.8335,68.8702,0,0,Education
105140872,10741,270,3433,1143,83.4029,81.9973,0,0,Education
1055711798,1122,2340,2188,166,60.9609,40.6393,0,0,Education
1058861540,1717,1754,2444,1852,72.5371,64.3608,0,0,Education
1061616308,5945,1356,870,151,73.5955,65.7508,0,0,Education
106220051,642,426,1130,2,63.3688,40.7699,0,0,Education
10645142,3022,2723,16137,1145,76.4432,65.6354,0,0,Education
106601579,3014,2352,21594,919,64.2919,42.841,0,0,Education
1073528640,518,776,523,228,58.454,55.3946,0,0,Education
108038273,316575,566,203954,1177,98.3384,73.2503,0,0,Education
108059436,1486,1559,7790,22,73.2016,71.0741,0,0,Education
1081317464,1263,1122,509,92,62.896,59.0998,0,0,Education
1094947026,11748,1028,6492,900,83.0394,77.291,0,0,Education
109577961,188423,57589,29723,3125,97.5989,85.1821,0,1,Education
109958904,1442,2775,3527,1903,72.8272,67.9047,0,0,Education
110862938,2041,2621,2930,1677,71.5393,66.1397,0,0,Education
1109476165,544,549,2326,2377,65.6682,63.6456,0,0,Education
111191724,2313,1472,2084,2157,73.573,67.2865,0,0,Education
111259127,33445,5562,5355,504,87.9868,74.6581,0,0,Education
1112713086,527,760,1318,1351,63.2414,62.8185,0,0,Education
1117076286,1323,21,696,15,61.5841,48.2718,0,0,Education
1117688192,56794,85,2830,789,90.2492,82.7147,0,1,Education
112606600,3390,2936,8256,4401,77.6506,74.1175,0,0,Education
1129130894,3832,665,2123,2532,76.194,72.998,0,0,Education
113434431,8634,2710,16217,3887,82.1866,71.299,0,0,Education
113898492,631,2551,11126,5490,68.6712,60.6469,0,0,Education
1141702176,660,1117,843,81,62.7986,52.8139,0,0,Education
114363810,600213,188,19541,84,103.297,81.7365,0,1,Education
1148403186,1540,1870,7253,1689,71.7384,65.7028,0,0,Education
116344712,2171,1084,1891,30,72.1208,52.5427,0,0,Education
116424578,291930,162,13782,746,99.3258,81.5817,0,1,Education
1170222594,622,4832,2517,22,67.7919,54.8871,0,0,Education
117371269,654,440,716,117,60.1496,51.2882,0,0,Education
1173795696,1570,776,2365,6209,72.0271,70.9356,0,0,Education
1178232942,1071,2244,1846,611,69.1216,63.3491,0,0,Education
117908667,729,786,1260,2098,64.6405,62.9982,0,0,Education
1181727216,624,206,648,81,59.3691,43.0023,0,0,Education
1183889124,544,741,784,737,60.7702,53.6078,0,0,Education
119766595,95238,12,2190,104,90.1313,80.1588,0,1,Education
119784462,10783,3286,23363,3072,81.5182,78.4319,0,1,Education
119890597,561,666,1326,11,62.3576,54.6716,0,0,Education
1211092092,1696,1652,2099,333,71.9888,64.6045,0,0,Education
1214308530,17778,450,1105,1107,80.5243,63.2393,0,0,Education
121537720,33876,5179,19930,1766,88.3115,78.9933,0,0,Education
1216979486,124082,38183,5775,415,92.1465,76.5042,0,0,Education
121920407,901,667,1912,450,67.9574,64.4486,0,0,Education
122043879,6677,233,1888,19,77.7861,68.5981,0,0,Education
122430710,13335,3138,12086,1215,81.1368,73.8145,0,0,Education
1226575231,4087,770,1397,710,74.4193,69.2264,0,0,Education
1227917690,3730,617,3396,668,77.812,69.5372,0,0,Education
1228869229,8849,2694,4996,10353,80.7803,73.4712,0,0,Education
1238317082,631,1218,1448,1070,65.1223,65.5898,0,0,Education
123987071,6122,684,4512,1,78.8738,61.4875,0,0,Education
1244771232,912,945,3110,2440,70.2712,68.7648,0,0,Education
124583107,9848,4309,9490,999,82.1692,76.9073,0,1,Education
1267087706,6577,6434,29453,1321,80.7096,67.5506,0,0,Education
127015362,599,788,2409,1060,67.5442,64.558,0,0,Education
12804422,2715367,4054,11992,8017,110.265,102.696,0,1,Education
128143401,649,877,2631,3258,68.1048,69.7923,0,0,Education
128246602,158674,1472,16923,4625,96.9166,90.1006,0,0,Education
128496277,2911,761,6982,3957,76.8646,67.5832,0,0,Education
128680852,989,1133,1673,228,67.9899,58.9874,0,0,Education
1289519689,650,643,1188,271,64.0414,56.0205,0,0,Education
1295961368,379932,122317,79928,209,88.4887,64.2956,0,1,Education
129845242,2039607,102444,67490,802,109.158,108.292,0,0,Education
1304257200,534,862,2444,893,66.9227,65.6968,0,0,Education
1305192458,740,470,1448,14,64.5536,56.238,0,0,Education
130521243,333336,2255,27000,16607,100.374,85.6178,0,0,Education
130559155,5781,1584,3411,1770,80.307,75.0049,0,0,Education
130790952,2247,902,4977,357,75.5873,65.632,0,0,Education
131035262,222279,3126,22689,94,97.8151,92.0632,0,0,Education
131495093,1866,2290,4634,1926,74.5753,70.6881,0,0,Education
132249230,2668,621,952,204,69.0028,58.9234,0,0,Education
1325262661,543,675,1073,63,62.5935,55.8764,0,0,Education
1341341702,1846,1296,3225,100,74.0298,67.4247,0,0,Education
1351138362,555,566,1253,97,63.9092,62.1767,0,0,Education
135447780,1671,651,3442,366,74.0935,73.4925,0,0,Education
1355209609,1348,1617,1429,1037,68.2762,64.8611,0,0,Education
1362988046,843,1512,5142,7890,70.3233,68.8946,0,0,Education
136364039,3390,746,20217,174,77.2739,66.2778,0,0,Education
136423662,669,1013,3775,590,69.1514,60.917,0,0,Education
136441843,114570,407,14147,17636,95.1238,84.8121,0,1,Education
1365244806,17526,586,1216,3,80.2964,69.0111,0,0,Education
137112170,557,519,1296,1217,63.9896,63.5747,0,0,Education
137396575,511208,424,13475,2492,102.214,101.941,0,1,Education
1375911836,885,660,759,536,62.81,57.187,0,0,Education
137799604,722,386,1826,53,66.8828,55.3583,0,0,Education
138379433,1693,5001,612,41,64.3421,43.4046,0,0,Education
1395919208,4333,2597,10434,451,77.9927,65.9757,0,0,Education
13982132,381745,1109,11226,1583,100.855,98.3418,0,1,Education
1398765590,2078,6,941,2,58.7422,39.5402,0,0,Education
1409522966,594,567,1972,1467,66.0624,62.2893,0,0,Education
1427567287,506,653,2011,100,59.3584,53.6733,0,0,Education
1428441589,29582,83,3011,577,82.9861,80.3607,0,1,Education
1428960679,944,468,807,101,64.2245,58.9462,0,0,Education
143381041,73053,5163,2841,36,91.7628,75.9511,0,0,Education
14360757,1129224,26588,29960,3810,106.188,98.5582,0,1,Education
14369901,371638,14397,24256,127,96.2667,89.0691,0,0,Education
1438162062,1307143,2507,854,173,95.8813,107.512,0,0,Education
144811065,1869,2336,4523,298,71.7794,58.1631,0,0,Education
14592723,1476289,1823,34657,1825,106.976,96.8964,0,1,Education
1463880866,1919337,662,3914,324,97.9774,107.999,0,0,Education
1470225452,1069,1054,1216,154,66.462,56.6216,0,0,Education
14718474,881,1537,1273,1824,66.2917,62.934,0,0,Education
14732889,213911,247,13470,3944,96.5039,83.1652,0,1,Education
1475598260,511,247,2249,2064,66.4036,62.8111,0,0,Education
147876008,598288,467,22470,245,103.415,81.862,0,1,Education
1480331647,539,936,563,1073,58.8471,59.7481,0,0,Education
1484490084,1055,1768,1000,354,65.4269,53.8548,0,0,Education
1485600943,575,144,3350,577,68.7277,67.3207,0,0,Education
14947998,21208,1508,6730,2429,86.5783,83.281,0,0,Education
1497085172,1285,2271,1920,1332,70.139,68.0242,0,0,Education
1498504338,18730,13430,12199,9984,86.2335,92.6726,0,0,Education
1500103434,15822,11124,12583,112,80.6081,61.0897,0,0,Education
15001413,2034,1635,8558,4541,75.0775,70.2333,0,0,Education
15057943,4124856,3365,10633,4011,113.076,100.087,0,1,Education
1510691576,972,952,811,562,64.5387,57.9579,0,0,Education
151261945,740659,1046,12232,7,103.839,85.0854,0,1,Education
15147042,651734,3048,108462,42,102.226,85.8213,0,1,Education
151628880,9087,1787,9982,22,77.4389,57.5479,0,1,Education
151822870,21862,5397,18662,21245,86.8738,81.1246,0,0,Education
1528829834,687,1989,3799,112,64.3551,49.4272,0,0,Education
1529397116,575,873,1483,329,64.589,56.6687,0,0,Education
15302322,3611,4612,7099,1205,77.7075,68.9851,0,0,Education
1532328763,1260,556,3191,2337,72.0822,70.0605,0,0,Education
153274105,563,687,1223,1387,61.6977,61.5193,0,0,Education
1539314226,744,1296,1188,670,65.0857,66.7284,0,0,Education
1539317101,1391,3623,5387,6377,73.2006,72.7314,0,0,Education
154532514,2228,4991,3875,2567,75.0275,68.1428,0,0,Education
154552529,734,222,2074,12,66.9945,52.2504,0,0,Education
15460048,769432,475,12099,593,104.593,104.815,0,1,Education
15518000,242319,4,4354115,1,91.0256,83.6858,0,1,Education
1553154854,1808,690,2326,739,72.8971,66.0182,0,0,Education
15548799,1100,349,8607,955,70.9406,55.7747,0,0,Education
15637375,185484,1269,18225,8505,97.4718,105.62,0,1,Education
15714922,770,283,3229,13,65.2573,45.6237,0,0,Education
157273341,43211,823,18031,730,90.3352,78.4307,0,1,Education
15729119,836,1111,9164,5477,70.6594,62.2747,0,0,Education
15763818,158978,2440,48978,19827,96.8757,92.1543,0,1,Education
158022542,4879,3760,4134,2584,78.5305,80.435,0,0,Education
15809249,4177732,120,13644,6151,103.692,96.9846,0,1,Education
1581289837,576555,551,10434,11347,103.289,100.736,0,1,Education
1583979914,804,1226,641,3164,62.392,54.4252,0,0,Education
1586490702,1131,1398,2274,1269,70.3708,65.9851,0,0,Education
15865878,266253,831,35564,2211,97.9961,86.0688,0,1,Education
159895085,5319,1356,15821,4150,79.9162,74.6642,0,1,Education
1601162708,3585,4781,1696,2601,69.2873,58.9632,0,0,Education
160950277,47872,719,6222,366,90.4502,91.4939,0,0,Education
1616426142,1117,959,2161,2215,70.1203,65.19,0,0,Education
16201819,288234,115744,48470,463,97.0633,91.1419,0,1,Education
1635736712,925,638,1152,626,65.2405,64.389,0,0,Education
163614938,2106,3357,17227,2777,74.2461,66.4237,0,0,Education
163948227,1063,862,766,74,64.6422,59.5444,0,0,Education
16400734,16838,666,8862,1818,85.6699,80.0616,0,0,Education
1640683118,888,897,1653,1596,67.6001,67.0281,0,0,Education
1641545461,1552,801,2717,2173,72.9073,72.4925,0,0,Education
16423109,1120215,8553,9838,14243,106.67,106.716,0,1,Education
16463853,950210,1147,13919,6517,105.336,101.763,0,1,Education
164691705,241467,2344,26317,12367,98.9493,81.4898,0,1,Education
16548567,7728,399,6984,377,81.7949,79.0934,0,0,Education
16566160,1652,1463,15662,737,73.9588,67.3961,0,0,Education
1660471692,577,274,2615,217,66.9963,62.5182,0,0,Education
1660917871,904,482,1699,1365,67.7918,62.3716,0,0,Education
1665531,332282,7413,27523,2728,100.473,86.2051,0,1,Education
16667262,1501711,118,17018,6331,106.921,100.168,0,1,Education
16669817,556,1103,1236,3,61.6485,49.7725,0,0,Education
16689804,556610,145,1639,1141,99.7861,97.5217,0,1,Education
167318166,1172,1726,989,889,65.5726,54.3623,0,0,Education
16742420,209456,638,13468,2007,97.8726,86.6784,0,1,Education
167441637,3541,1133,6353,2535,77.273,77.2391,0,0,Education
1676340660,1219,1317,3688,11132,72.3677,73.4863,0,0,Education
1679094056,758,490,631,1118,61.7496,59.3825,0,0,Education
168238465,31399,353,5328,2656,87.9916,80.1155,0,1,Education
1688669228,2912,257,4757,5387,76.5857,75.8444,0,0,Education
16926232,6017,327,43518,15,67.7709,47.1725,0,1,Education
16929632,1647,1146,2843,369,73.4177,72.9104,0,0,Education
1693849141,957,978,8003,9821,68.1356,65.4578,0,0,Education
1694777701,5075,2090,953,188,72.4281,62.1717,0,0,Education
16963667,1067,1041,3790,1979,71.7228,72.3783,0,0,Education
17045958,20002,2295,15615,1935,85.9583,79.98,0,0,Education
17057271,2575234,1369,22177,9011,110.779,98.8094,0,1,Education
1708285345,513,1013,1649,314,64.4518,57.5623,0,0,Education
171020169,17831,13653,4750,195,83.67,74.5381,0,0,Education
171733309,14355,1569,5781,2612,84.328,77.7289,0,1,Education
17237540,230769,1680,15643,8731,97.3121,103.427,0,1,Education
1725729715,3979,4047,14106,5962,78.1101,75.4971,0,0,Education
1726338853,896,515,1294,1177,66.4264,64.8464,0,0,Education
1726437067,750,714,1334,654,65.7028,59.1902,0,0,Education
17266725,2930448,1030,7697,800,111.413,105.511,0,1,Education
17276863,3897,2121,22828,1035,78.2921,75.5152,0,0,Education
173247325,7566,6650,10833,4264,81.4357,76.6005,0,0,Education
17346423,190782,2656,7282,769,96.6604,83.0911,0,0,Education
1735853984,744,656,1577,330,65.8841,62.3731,0,0,Education
17369110,195494,530,11632,6009,97.9153,84.8566,0,1,Education
173944566,1023,494,1204,494,66.4611,58.7642,0,0,Education
17452407,1299,1786,2419,1045,71.3259,65.9881,0,0,Education
17463548,549,635,1409,1139,63.9432,63.2052,0,0,Education
17473523,5923,2913,67415,52,72.9424,53.3802,0,0,Education
17667371,1154,739,1219,587,67.1296,63.6944,0,0,Education
17674931,1296,1396,11670,2132,72.8362,72.6433,0,0,Education
177028444,1027,3510,9208,1393,69.9525,61.0803,0,0,Education
17768742,2646,3487,3346,1514,76.3594,68.8983,0,0,Education
