userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
1000132999,36966,1501,41705,1011,84.7016,74.9675,0,0,Entertainment
100020413,175608,234,27403,2913,97.33,97.246,0,1,Entertainment
1000262514,853292,0,512,157,92.7808,95.4945,0,0,Entertainment
1000677594,6428,6364,17984,22300,80.4371,69.2408,0,0,Entertainment
100077645,2247545,11328,55313,78271,106.941,94.4876,0,1,Entertainment
100110935,17486,3800,27069,2546,83.2658,64.778,0,0,Entertainment
10012122,2365450,363,189289,828,107.548,97.7761,0,1,Entertainment
100123158,313454,2202,38837,105,98.7667,90.6343,0,1,Entertainment
100177989,20162,7286,6698,722,86.1955,71.3463,0,0,Entertainment
100207042,29500,46,69443,237,87.643,82.0866,0,0,Entertainment
1002115166,5127,4476,28649,5736,79.5924,70.4038,0,0,Entertainment
100220864,31313114,107,3915,102,122.405,135.584,0,1,Entertainment
100254425,28658,21076,24128,199,85.9935,80.8396,0,0,Entertainment
100322679,1318514,1308,3822,767,106.999,107.495,0,1,Entertainment
100338893,353501,269086,145884,0,99.8493,84.1266,0,0,Entertainment
1003477903,4571,4427,2327,20397,76.9023,73.5761,0,0,Entertainment
100381991,501131,3003,500241,1308,97.6477,70.223,0,1,Entertainment
1004876916,113535,93762,17712,20570,94.5541,92.7798,0,1,Entertainment
100563581,5131882,1576,89660,989,114.227,96.5127,0,0,Entertainment
100629223,105303,1014,50767,29939,93.2138,100.094,0,1,Entertainment
1006408687,7614,2800,17593,6625,80.6505,93.0977,0,0,Entertainment
100731315,2618807,74,401067,17,107.297,97.8492,0,1,Entertainment
100761725,10272,145,1342,702,78.7662,65.0965,0,1,Entertainment
1007948443,4861,868,30053,3333,78.645,72.9399,0,0,Entertainment
100849806,8857,410,6435,65,82.3978,75.4527,0,0,Entertainment
100911407,27754,2154,21819,86,87.255,74.7622,0,0,Entertainment
1009328030,278142,706,4547,2547,98.7594,85.9765,0,0,Entertainment
10099582,27139,16321,12227,195370,87.1586,76.4344,0,0,Entertainment
1010189954,5651,668,14299,6150,79.5776,67.0301,0,0,Entertainment
101040399,22726,994,39173,30888,87.0849,89.8308,0,1,Entertainment
101108859,253569,37,2420,162,97.3839,95.0707,0,1,Entertainment
1011170378,32793,10363,2982,5409,84.5906,67.7371,0,0,Entertainment
10114952,128760,538,7093,561,95.5846,97.6205,0,1,Entertainment
1011750498,13741,15493,68244,8109,84.4705,77.4508,0,0,Entertainment
10122292,48574,2172,44895,99472,90.884,84.1962,0,1,Entertainment
101224288,153146,301,66926,70,93.3604,86.0542,0,0,Entertainment
101236631,403518,1870,5160,2028,89.0549,73.5662,0,0,Entertainment
101247646,310667,2124,17183,10679,99.7078,91.4238,0,0,Entertainment
101249385,32118,36762,29975,5,88.1527,64.0684,0,0,Entertainment
101263750,395787,11,7704,2631,91.5306,101.164,0,1,Entertainment
1012752500,34405,90,846,1846,82.4939,80.5397,0,0,Entertainment
101311381,26110061,81,56564,16,116.389,117.569,0,1,Entertainment
101333534,779793,826,17708,2,104.065,108.961,0,1,Entertainment
10140772,52006,44784,47674,1420,85.2598,74.8981,0,0,Entertainment
101409314,267346,85,4605,301,97.2566,94.4587,0,1,Entertainment
1014098960,59140,12245,17992,23628,91.6796,87.9663,0,0,Entertainment
101458970,10801,4497,2929,6065,82.624,78.7533,0,0,Entertainment
1014862740,12945,4991,20264,12003,77.9932,80.1443,0,0,Entertainment
1016348796,53518,778,2147,2312,88.2219,83.6559,0,1,Entertainment
101651259,279729,2058,15445,701,97.6846,94.9725,0,1,Entertainment
1016696390,259096,12660,73252,8334,97.3777,68.838,0,0,Entertainment
101681164,11838,11203,332976,48,75.0264,53.5813,0,0,Entertainment
101694615,276086,195,8501,101,97.6438,88.9296,0,0,Entertainment
101695592,17507308,74,3197,0,120.23,122.095,0,1,Entertainment
1017748621,5398,67,13831,8,79.8475,69.2644,0,0,Entertainment
101784220,9348,1398,5511,97,82.4064,75.9585,0,0,Entertainment
101798589,1636831,848,3077,1720,107.745,113.031,0,1,Entertainment
1018103521,9663,1891,11238,14988,81.569,75.6858,0,0,Entertainment
1018579128,415836,417,2652,13688,100.578,100.873,0,1,Entertainment
1018627848,33363,81,515,80,79.6075,72.1318,0,1,Entertainment
101903164,60469,210,10917,7459,92.1,88.956,0,0,Entertainment
101928415,6770570,24,2458,12,112.052,112.223,0,1,Entertainment
1020284538,4525,4002,13228,13327,78.8206,72.6902,0,0,Entertainment
1020383864,322645,1517,23767,16614,100.425,98.749,0,1,Entertainment
102117124,759653,5914,116192,1852,103.728,86.4614,0,1,Entertainment
102135528,217829,1106,4101,5649,98.4901,91.6255,0,1,Entertainment
1021419306,864338,33,1123,89,99.1215,91.1964,0,1,Entertainment
102160486,997349,415,6438,2998,105.462,104.015,0,1,Entertainment
