userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
1001009784,2146,3359,25613,12438,74.7618,81.3658,0,0,Military
1001701014,15165,5046,82873,146,78.341,56.9341,0,0,Military
100253123,2115,3425,17963,11711,74.9785,68.1186,0,0,Military
10080132,95871,1300,33167,20,93.5404,76.1545,0,1,Military
1014922465,302410,5,39929,491,92.9862,83.7316,0,1,Military
10215102,166287,1447,4565,73,91.6114,77.9835,0,0,Military
1022810954,19785,16408,22795,1002,84.099,66.3052,0,0,Military
102361333,539674,465,5093,88,100.731,98.2185,0,1,Military
102371835,2549,1481,1973,471,73.7753,68.7839,0,0,Military
102455692,28379,657,3173,2597,88.1641,98.8564,0,1,Military
102476242,21044,1611,11492,502,84.9991,82.1969,0,0,Military
10252962,617971,752,125070,786,103.416,96.2648,0,1,Military
1026394806,1782,992,724,426,66.6767,63.8432,0,0,Military
103022243,16877,3299,4748,91,85.6519,89.4236,0,1,Military
1032747925,1655,35,26993,0,61.3052,45.0949,0,0,Military
103743046,9663,4390,15855,721,80.4499,65.6456,0,0,Military
1042307696,71196,496,5004,1069,92.8886,88.8054,0,1,Military
104289752,12863,174,3900,1055,83.9772,81.62,0,0,Military
105796992,17620,617,12452,3088,84.8296,78.2321,0,1,Military
105899607,6901,5104,69922,17540,80.438,73.6609,0,0,Military
106053074,653,2169,654,873,61.3592,52.4647,0,0,Military
1063190647,956,1094,1691,445,68.0561,69.3282,0,0,Military
106348473,13490,484,12659,37,82.7542,77.9437,0,1,Military
107223327,62938,1044,3561,2534,92.2136,86.5507,0,1,Military
10722752,15822,320,120843,483,84.9384,78.277,0,0,Military
107655313,508562,474,16226,3320,101.329,101.795,0,0,Military
107747077,59395,59242,37923,1307,87.4059,61.0808,0,0,Military
108636660,7202,770,6308,920,79.4781,78.79,0,0,Military
1091561809,143659,904,7982,50,96.3295,88.6664,0,0,Military
1091639485,41878,775,13759,4477,89.9816,86.1414,0,1,Military
109673936,2199,1042,4572,893,72.8843,67.6588,0,0,Military
110486147,10447,1569,72772,23103,82.8613,76.6819,0,0,Military
1106172950,2139,2136,11712,2263,74.2682,69.4969,0,0,Military
1106612167,7713,5151,3129,197,76.7906,59.6874,0,0,Military
1115874631,3036094,50,31854,7,109.683,97.0171,0,1,Military
11196812,21300,100,28347,25504,83.0306,67.5801,0,0,Military
1126289629,3608,117,595,4,63.6849,35.3601,0,0,Military
11265832,207393,1577,118962,2418,97.9953,80.865,0,1,Military
11311362,1486,1539,6001,2391,71.9509,65.8588,0,0,Military
11316572,106769,1264,50139,5036,94.6899,84.0069,0,0,Military
113474316,56169,3059,121258,8613,91.042,86.0864,0,0,Military
113658794,7284,123,1250,2,76.3632,60.1236,0,0,Military
114254401,49798,1929,4126,3275,84.1719,78.9706,0,0,Military
1144935463,124680,265,2637,297,94.5013,89.0112,0,1,Military
114960363,2346,43,9917,819,73.4946,76.029,0,0,Military
115151170,137395,1,3374,17,96.0338,91.4667,0,1,Military
1151633461,510,8,1359,3,60.3422,52.4032,0,0,Military
1152279248,2077206,112,2079,1833,103.069,105.993,0,0,Military
115252270,2006,497,1117848,25,62.2692,31.2628,0,0,Military
1153722942,520,1972,74870,242,59.3955,40.5445,0,0,Military
1158703615,1736,735,2920,386,73.3265,76.5211,0,1,Military
1160531425,1462,2084,14137,1578,69.0059,54.1392,0,0,Military
117439544,110033,78,1648,431,91.6095,89.3377,0,1,Military
117573605,2068,2597,6676,857,72.1959,63.2485,0,0,Military
1176994477,92266,358,20604,146,93.2137,98.7933,0,1,Military
117821354,42715,66,2093,23,86.2283,84.6107,0,1,Military
118111028,24693,1038,32376,2166,87.5003,86.9702,0,0,Military
118701034,3590,438,6057,1,76.5897,74.2183,0,0,Military
118730543,5350,3762,15704,1238,79.8924,72.5809,0,1,Military
119048111,34118,938,9252,13,88.3539,87.3336,0,1,Military
119066913,663,619,7844,1605,69.2311,65.5822,0,0,Military
1191577668,892,923,2550,2217,69.8099,68.9702,0,0,Military
119757545,53569,897,39744,1217,90.7824,90.1952,0,0,Military
1198416960,21260,533,3956,34,86.8219,81.5724,0,0,Military
120120773,18363,442,10852,358,83.6842,73.6018,0,0,Military
1202427403,1297,1876,1932,14,70.0135,60.3579,0,0,Military
120327191,1906,2081,16674,63,74.0577,69.6509,0,0,Military
1205413460,2732,559,2158,19,74.204,70.2257,0,0,Military
1209936918,116844,57,84881,2022,95.1254,95.4073,0,1,Military
121019896,62019,786,6550,61,87.9148,86.6137,0,1,Military
121148202,767,518,34989,529,69.4677,64.2777,0,0,Military
121202143,1035,1994,65869,3765,65.9829,54.7141,0,0,Military
121873551,634,243,744,72,61.3528,50.2891,0,0,Military
122339767,108890,8,216581,2,82.2182,52.5262,0,0,Military
122954738,907,4996,8236,4708,70.8846,67.2798,0,0,Military
12331682,569,561,2739,9,65.1759,50.1923,0,0,Military
123410339,10480,2144,79899,0,70.5124,42.2221,0,0,Military
123907644,6386,128,44620,4270,79.6101,63.3153,0,0,Military
12413892,124461,2081,141329,1494,95.3021,77.1292,0,1,Military
12425692,2379018,1749,97642,152,108.091,98.5854,0,0,Military
124319157,1216,1250,26951,2780,72.392,59.1985,0,0,Military
1248408648,2510,1026,17489,1129,75.8574,76.7601,0,0,Military
124850719,16779,18355,1970,3159,82.3193,81.5178,0,0,Military
125400908,20930,1146,24818,2943,86.5385,88.958,0,1,Military
125519902,4555,260,908,223,72.4525,64.3545,0,0,Military
125753208,7152,1623,8656,3,81.367,67.8854,0,0,Military
125767959,9145,599,9009,327,81.0096,72.7784,0,1,Military
126086206,20548,294,2760,629,85.1646,78.4971,0,1,Military
127182500,31576,1160,75330,7267,88.6426,82.5703,0,0,Military
127631608,190491,1506,16479,224,93.6589,68.7874,0,1,Military
127887649,1200,994,2080,184,70.1937,63.1913,0,0,Military
127900308,45949,43269,1048,4573,84.7945,78.4289,0,1,Military
1283351484,2860,1,41588,5435,51.7841,31.3319,0,0,Military
12837932,57317,2846,134739,509,91.4097,80.7508,0,1,Military
128671575,632,3311,12108,1861,69.2198,57.3655,0,0,Military
1286716364,827,463,1393,27,61.7005,49.2709,0,0,Military
12896172,27032,22582,1167021,1249402,87.5071,78.6159,0,0,Military
1289658361,536244,134,1409,53,87.7115,83.9359,0,0,Military
1293696956,1948,1814,8569,7992,71.4806,64.9912,0,0,Military
131538331,16087,1987,51878,1477,84.8985,97.6218,0,1,Military
1318710630,9642,33,1813,621,80.0182,74.7246,0,0,Military
1319219364,10438,103,8553,211,75.2769,66.6682,0,0,Military
1319832283,22626,1,2085,0,81.869,69.2916,0,1,Military
1320073344,653916,28629,17573,85,96.118,97.4129,0,0,Military
132737162,94244,649,19927,544,93.5933,84.1205,0,1,Military
1328916486,714,314,828,234,62.0612,60.7242,0,0,Military
133315811,3180,1204,112052,11432,77.3454,73.035,0,1,Military
133905861,138895,1992,1563,142,91.6297,76.8342,0,0,Military
134249692,3527,297,8093,713,75.679,69.096,0,0,Military
134398560,311853,2763,81161,6779,99.4043,85.4665,0,1,Military
1346074165,2435,660,2730,647,75.1423,73.8367,0,0,Military
135322447,616,428,959,21,62.0361,47.1513,0,0,Military
135678842,46084,1080,5463,1797,90.1266,87.6382,0,0,Military
1357840590,2125,3353,3547,1572,75.27,74.0871,0,1,Military
1358520301,15160,330,32590,7542,84.3646,91.18,0,0,Military
1362191299,577347,1,10165,2,97.7758,97.3013,0,1,Military
1362368612,39240,2278,39995,114149,88.5618,87.7829,0,1,Military
136440628,502,26,1097,1,62.4621,43.4336,0,0,Military
137320274,1172,930,1973,17,69.7896,66.1113,0,0,Military
1378117842,31674,975,10554,7400,88.5907,78.4124,0,0,Military
1380398929,3513,332,6824,4305,77.4997,80.1498,0,0,Military
138092553,3028,2998,175375,93,64.2955,42.2941,0,0,Military
138482259,1218,111,1121,0,58.7894,44.8658,0,0,Military
1386987253,2193,2145,1436,181,70.6452,60.048,0,0,Military
1390655120,772,822,2994,171,69.8771,64.2802,0,0,Military
1392559128,16066,97,3295,23,85.1286,78.5568,0,0,Military
1393038523,576,705,7108,5,68.7128,54.1879,0,0,Military
1398740964,4643,453,510,52,69.973,63.7956,0,0,Military
1401977316,603,601,560,13,53.7635,32.8024,0,0,Military
140402938,7861,3601,3721,259,80.7015,71.5243,0,0,Military
1404953154,6147,2032,4400,1950,74.1929,52.928,0,0,Military
1408312021,15477,93,1950,205,82.0178,78.5539,0,1,Military
140917531,1375,2586,16178,2327,68.4524,56.6674,0,0,Military
14106476,179946,824,36188,688,91.594,80.504,0,1,Military
1411455757,23244,536,26093,23256,86.8764,87.6023,0,0,Military
14173315,4889529,2957,116380,742,112.477,103.954,0,1,Military
14185814,186054,1175,125245,2099,97.6581,86.1099,0,1,Military
1418590874,822,306,2781,60,69.8024,67.5336,0,0,Military
142354377,1397,1957,4182,37,67.4028,56.3777,0,0,Military
142375993,46523,304,3110,18492,90.1847,101.305,0,0,Military
1425387379,8445,1103,11456,599,80.1468,67.0838,0,0,Military
142557721,258972,918,16768,160,97.2766,79.2982,0,1,Military
14296157,140615,5990,114205,960,95.7065,82.1257,0,1,Military
143142203,11808,5985,81633,232,71.1182,54.3646,0,1,Military
14327793,14280,12106,14788,9464,84.8876,79.4496,0,1,Military
1433356862,46027,861,32430,2539,89.9654,82.7218,0,1,Military
1438389025,68549,23689,26817,4421,89.3595,74.2542,0,0,Military
14389923,63682,204,28071,43,85.6307,69.9621,0,0,Military
14401607,119785,7028,241583,15042,95.3007,88.7967,0,0,Military
1440384673,4827,248,4078,20,56.7832,32.8939,0,0,Military
14426369,89697,74,110084,143,82.6359,61.0114,0,1,Military
144432548,4423,1891,1917,16,76.1304,70.6758,0,1,Military
144477353,1672,358,38132,8459,73.7895,69.1354,0,0,Military
1445828989,907,1584,10113,2721,68.4027,58.8272,0,0,Military
1448776051,636,5,3482,0,58.7394,51.4868,0,0,Military
1451880907,28706,2510,5241,7563,88.2694,84.3429,0,1,Military
14555219,1584,2033,762,170,66.4573,60.3741,0,0,Military
14584903,141411,407,19055,12,93.4842,88.3809,0,1,Military
14592411,84649,14229,109098,1124,93.7582,78.6174,0,1,Military
14604442,152335,408,14350,659,95.7671,91.1502,0,1,Military
14645744,62236,555,22203,355,86.3983,73.0911,0,0,Military
14692385,153015,845,24577,677,91.5639,94.0037,0,1,Military
14705712,27264,1998,23808,2460,88.0046,84.2805,0,1,Military
147202600,28431,9976,4633,802,82.2424,88.4018,0,0,Military
14773232,14053,995,20260,1000,84.7415,83.7815,0,1,Military
14821314,5377,1494,20138,96,77.2926,62.4571,0,0,Military
1482930300,9350,1397,1953,600,79.9231,76.9792,0,1,Military
14831475,48056,2083,13626,1735,90.7717,85.6052,0,1,Military
148459836,1015,1748,13880,3464,71.5732,67.7171,0,0,Military
1484818710,737,1972,9396,790,67.8771,62.0688,0,0,Military
14896104,2655,14,4573,14,72.2013,43.2252,0,0,Military
149495617,271175,36,66645,5,90.9615,74.9795,0,1,Military
14976738,137064,641,117499,4420,96.1835,74.2133,0,1,Military
149834746,2157,1660,17073,2674,69.1037,58.2711,0,0,Military
1499806056,77381,42,2893,131,87.4271,54.5766,0,0,Military
15044904,845,379,1404,167,65.798,49.7358,0,0,Military
1507096069,597,677,3411,252,63.6192,50.7648,0,0,Military
15091503,49722,87,22039,17,83.9474,74.3437,0,0,Military
151058995,42139,1143,3404,16,90.1108,91.2691,0,1,Military
15109904,82909,7110,119819,1507,92.4625,69.8235,0,1,Military
1511070037,1566,1532,800,160,66.8121,72.7658,0,0,Military
15113565,287336,193,19182,1123,98.875,91.6571,0,1,Military
15120279,1001,1899,20475,31522,69.2737,58.6016,0,0,Military
1512524468,2110,2048,1303,21,64.1702,41.8696,0,0,Military
152218514,17261,5426,15075,6,74.3813,60.5107,0,0,Military
1525210998,4028,26,1099,20,68.9628,63.8177,0,0,Military
15286867,24690,37,3382,7,86.6163,79.97,0,0,Military
15297249,1332,1100,4003,385,72.8228,75.3622,0,1,Military
15304100,298319,23842,113400,664,97.9806,80.9786,0,1,Military
153605762,6851,1497,5234,21,81.1339,75.3269,0,0,Military
153772652,546177,787,2571,314,101.811,105.588,0,1,Military
153918738,519,471,2960,395,67.7315,58.149,0,0,Military
15392053,103080,5529,80337,580,94.4446,81.571,0,1,Military
15438913,2016585,2400,209582,711,109.462,97.7313,0,1,Military
