userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1035472341,3505,9359,11474,1,1,1,0,48,Player
1045756580,935,5936,8502,1,-1,1,0,36,Player
1056618022,1246,12298,15352,1,1,1,0,48,Player
1067540253,1960,12018,11462,1,1,1,0,33,Player
1077764205,893,4589,1321,1,1,1,0,17,Player
1087362930,578,6421,190,1,1,1,0,28,Player
1094246833,1093,8714,8316,1,1,1,0,25,Player
1111527903,173,202310,522,1,1,1,0,24,Player
1119042372,414,18849,1253,1,-1,1,0,29,Player
1135326761,196,2344,5485,1,-1,1,0,29,Player
1136136847,484,4643,4357,1,1,1,0,43,Player
1142313002,864,3480,15401,1,1,1,0,44,Player
1156689792,312,1819,1362,1,1,1,0,25,Player
1197625191,390,46385,358,1,-1,1,0,14,Player
1213827507,330,16397,0,1,1,1,0,34,Player
1221530313,580,6197560,478,1,1,1,0,31,Player
1227035881,359,705834,1841,1,1,1,0,35,Player
1227927594,818,3828,1377,1,-1,1,0,40,Player
1230037855,337,48210,602,1,-1,1,0,28,Player
1234682582,250,3233622,1314,1,1,1,0,32,Player
1236700042,379,435,1431,1,1,0,0,30,Player
1240058133,1081,21448,2908,1,1,1,0,36,Player
1240290531,408,4670,4784,1,1,1,0,22,Player
1240570281,519,3056,320,1,1,1,0,26,Player
1248156790,409,32692,3031,1,-1,1,0,34,Player
1248621780,194,4815,568,1,-1,1,0,17,Player
1255908903,297,4480,998,1,-1,1,0,29,Player
1258030893,1020,14713,7511,1,-1,1,0,46,Player
1258679960,4203,212147,95704,1,1,1,0,48,Player
1261026372,1047,1199,3923,1,1,0,0,35,Player
1262172854,546,171742,1603,1,-1,1,0,30,Player
1265896891,716,8689,6363,1,-1,1,0,33,Player
1272406435,229,3857,142,1,1,1,0,21,Player
1281928792,679,232496,17616,1,-1,1,0,41,Player
1290214715,1890,11502,6075,1,-1,1,0,48,Player
1294704187,274,154378,1661,1,1,1,0,45,Player
1296939717,381,1666742,1486,1,-1,1,0,42,Player
1299428661,740,4168,7621,1,1,1,0,28,Player
1301710240,210,371801,187,1,1,1,0,14,Player
1304757095,428,208129,395,1,1,1,0,41,Player
1308929235,390,358900,1954,1,1,1,0,21,Player
1339146384,63,139338,70,1,-1,1,0,20,Player
1342374845,1377,78353,1522,1,1,1,0,26,Player
1343358432,206,16801,470,1,-1,1,0,37,Player
1350387154,17,1570,43,1,-1,1,0,11,Player
1362054392,227,5891,1114,1,1,1,0,28,Player
1363144650,875,32091,2488,1,1,1,0,31,Player
1363152162,1237,18858,6376,1,1,1,0,32,Player
1363175664,650,2323,814,1,1,1,0,18,Player
1364604732,459,5244,477,1,-1,1,0,31,Player
1372959331,159,107725,331,1,1,1,0,17,Player
1374219244,298,21233,162,1,-1,1,0,31,Player
1390952824,237,21031,1749,1,-1,1,0,38,Player
1401940480,768,20057,2633,1,1,1,0,18,Player
1402847365,740,32685,11408,1,1,1,0,36,Player
1415502354,3171,115913,5123,1,1,1,0,35,Player
1418790017,426,7747,1730,1,1,1,0,21,Player
1420482550,1406,4177,9832,1,1,1,0,23,Player
1421302787,2066,5813,5473,1,1,1,0,37,Player
1424584124,641,72266,7133,1,1,1,0,37,Player
1425285581,2528,56500,13496,1,1,1,0,36,Player
1436394413,1904,3316,3602,1,1,1,0,35,Player
1443920191,2746,96648,9549,1,1,1,0,41,Player
1448302323,1751,2996,944,1,-1,1,0,26,Player
1463891232,495,7553,1789,1,-1,1,0,35,Player
1496987060,1407,40784,4192,1,1,1,0,20,Player
1497027557,63,1583,1476,1,1,1,0,27,Player
1498579772,113,2402,6722,1,1,1,0,39,Player
1501005120,325,15515,727,1,-1,1,0,14,Player
1509757263,158,119125,42,1,1,1,0,32,Player
1539078220,103,54772,987,1,1,1,0,25,Player
1561956727,1765,3574,8056,1,1,1,0,31,Player
1568006292,122,2339484,1844,1,1,1,0,22,Player
1571983283,678,28369,1388,1,1,1,0,42,Player
1572842422,865,4359,4257,1,1,1,0,33,Player
1574886305,762,449,12269,1,1,0,0,39,Player
1575896974,302,37799,1084,1,-1,1,0,48,Player
1578594215,335,4349,49,1,-1,1,0,32,Player
1583457837,90,4143,0,1,-1,1,0,29,Player
1594567301,1185,1463,2006,1,-1,1,0,26,Player
1596137943,112,20943,14,1,1,1,0,34,Player
1597692911,637,9538,4014,1,1,1,0,28,Player
1598524121,167,1585521,560,1,-1,1,0,26,Player
1600216797,1097,2256,5112,1,-1,1,0,20,Player
1601045364,340,10406,2947,1,-1,1,0,32,Player
1603056597,872,41899,5742,1,1,1,0,48,Player
1609648201,83,7776155,256,1,1,1,0,29,Player
1610869281,572,12701,1138,1,1,1,0,24,Player
1618357727,321,9968,1091,1,1,1,0,18,Player
1621855341,142,4520,175,1,-1,1,0,31,Player
1624487355,1002,44892,158,1,1,1,0,31,Player
1625966774,575,6494,998,1,-1,1,0,26,Player
1627103647,2695,251709,24585,1,1,1,0,45,Player
1627523644,767,5542,4212,1,1,1,0,32,Player
1628311687,267,11648,572,1,-1,1,0,35,Player
1630030052,475,25325,81,1,1,1,0,31,Player
1634435495,988,140431,8018,1,1,1,0,43,Player
1639369037,251,1063591,259,1,-1,1,0,37,Player
1640160347,673,18678,3504,1,-1,1,0,35,Player
1641674177,119,10470,469,1,-1,1,0,30,Player
1642361535,141,7266,46,1,1,1,0,19,Player
1642589175,659,19323,4887,1,1,1,0,43,Player
1645802984,29,42603,69,1,1,1,0,14,Player
1645948682,818,3463,2647,1,1,1,0,25,Player
1647284003,916,8663,2544,1,1,1,0,33,Player
1649166140,212,20194937,2075,1,1,1,0,43,Player
1650938331,400,11711,14147,1,1,1,0,48,Player
1651613195,193,10453,5481,1,1,1,0,44,Player
1652432632,1011,3440,2395,1,1,1,0,31,Player
1653693934,872,6898,2308,1,1,1,0,28,Player
1657838543,366,8081,845,1,-1,1,0,28,Player
1659534910,165,694,249,1,1,0,0,36,Player
1659676420,338,17310,1220,1,1,1,0,26,Player
1661938815,493,2995432,47,1,1,1,0,31,Player
1662875765,215,4706,363,1,-1,1,0,27,Player
1664822514,354,39193,44700,1,-1,1,0,47,Player
1665682751,881,1265,3145,1,1,1,0,30,Player
1669593432,661,12257,96,1,1,1,0,32,Player
1675548193,39,72,43,1,1,0,0,0,Player
1686928361,895,5813,1109,1,1,1,0,23,Player
1689219285,571,2296,312,1,1,1,0,29,Player
1691034913,1268,50540,21228,1,1,1,0,41,Player
1691100234,287,7413,6008,1,-1,1,0,34,Player
1691678411,1484,5375,11888,1,1,1,0,36,Player
1693059677,129,6910,3474,1,-1,1,0,48,Player
1694441651,2218,956,2459,1,1,0,0,32,Player
1697030237,191,47189,288,1,-1,1,0,21,Player
1697329747,518,7332,5196,1,-1,1,0,45,Player
1697561677,63,43180,488,1,1,1,0,6,Player
1698340431,170,595,3521,1,-1,0,0,32,Player
1698706995,1933,23455,22597,1,1,1,0,29,Player
1700487142,863,33835,2650,1,-1,1,0,31,Player
1704144884,663,46237,9943,1,1,1,0,33,Player
1713554341,359,546,1988,1,-1,0,0,41,Player
1714774074,643,3326,10581,1,1,1,0,37,Player
1716702857,1872,4423,5735,1,1,1,0,30,Player
1720465554,80,5673,3684,1,-1,1,0,32,Player
1722147764,5423,21804,14426,1,1,1,0,48,Player
1723435805,694,4239,3231,1,1,1,0,29,Player
1723793234,861,50987,13600,1,1,1,0,46,Player
1724630024,1248,82386,6545,1,1,1,0,46,Player
1724964463,496,2169,2673,1,-1,0,0,40,Player
1726018704,999,14852,6667,1,1,1,0,26,Player
1726616225,237,3202704,984,1,1,1,0,27,Player
1726775102,112,3743,246,1,1,1,0,11,Player
1729189425,1081,39300,862,1,-1,1,0,30,Player
1730289277,586,7797,1452,1,-1,1,0,34,Player
1730872220,729,3914,16057,1,-1,1,0,43,Player
1731379131,1723,2522,8275,1,-1,1,0,45,Player
1731537304,174,72598,762,1,-1,1,0,32,Player
1732677785,790,8724,2662,1,1,1,0,27,Player
1733341094,745,3014,2014,1,-1,1,0,26,Player
1733987584,480,2904,227,1,1,1,0,28,Player
1734132754,156,17002,322,1,-1,1,0,15,Player
1735828413,507,224804,1298,1,1,1,0,27,Player
1736270900,481,2730,1320,1,1,1,0,26,Player
1736312651,753,20084,19618,1,1,1,0,41,Player
1737180491,1586,9623,2708,1,-1,1,0,32,Player
1737906847,400,2774,1493,1,-1,1,0,24,Player
1739950960,397,3780,1089,1,-1,1,0,22,Player
1740481833,1606,22057,5460,1,-1,1,0,26,Player
1741460460,1412,11584,4280,1,1,1,0,31,Player
1741829565,567,1824,4911,1,-1,1,0,28,Player
1742783364,384,2159,261,1,-1,1,0,29,Player
1743584381,623,269507,682,1,-1,1,0,35,Player
