userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
1000591,622849,1166,14782,23852,99.45,87.2914,0,1,Politics
100136358,78154,1040,266346,345,93.176,98.3346,0,1,Politics
1002014071,10932,856,1865,153,80.3902,81.0305,0,0,Politics
1002351,50926,4878,57539,3837,91.0943,94.8303,0,1,Politics
100250921,16395,889,99493,138093,84.5204,85.4714,0,1,Politics
100252664,4724,2372,9972,432,74.475,65.8951,0,0,Politics
10025982,227709,176,98768,488,98.7347,84.4115,0,1,Politics
100260784,10660,404,1882,389,80.3653,71.5458,0,1,Politics
1005126732,6437,5993,61153,2176,80.838,71.0161,0,0,Politics
100552542,9433,1090,11834,22738,82.5916,90.0429,0,0,Politics
100603066,7477,2775,27601,3133,79.4193,86.3609,0,0,Politics
10078,453778,559,2110,11435,99.556,98.1178,0,1,Politics
100842674,66774,644,92694,4374,92.1669,88.7924,0,1,Politics
1008492163,8827,9704,192379,5913,81.2883,70.582,0,0,Politics
1009195424,20207,18984,60073,9639,86.594,89.4282,0,0,Politics
1009198567,29303,5488,5611,138,84.6294,64.3483,0,0,Politics
1009489969,9293,239,1443,66,78.3535,72.7962,0,1,Politics
1009952498,10648,345,9432,313,83.3368,79.8986,0,0,Politics
10102272,5784,921,42518,1452,77.8009,76.3496,0,0,Politics
1010792046,4302,761,1880,925,75.7764,65.8346,0,0,Politics
101099964,300743,478,9519,81,99.0635,101.956,0,1,Politics
1011019968,6975,207,788,360,73.5418,68.4962,0,0,Politics
101222700,12463,770,159373,28003,83.5113,77.1411,0,1,Politics
101262738,4361,3225,185199,3898,74.5971,62.5289,0,0,Politics
10126672,891760,239,12682,734,104.219,104.732,0,1,Politics
101298982,7132,1727,3102,381,78.9165,67.0885,0,0,Politics
1013448020,15946,15899,11876,21360,80.7809,74.1514,0,0,Politics
101348982,5304,2926,12294,3415,79.7911,76.3312,0,1,Politics
101368752,5617,4779,7942,4949,79.7957,70.1777,0,0,Politics
1014248527,8571,9094,59795,20024,80.6328,75.027,0,0,Politics
101436145,7826,7458,1479,2785,77.7061,71.6731,0,0,Politics
1014813577,4688,4564,1767,380,74.2465,69.4586,0,0,Politics
101494182,168719,29,9777,53,84.4253,78.6547,0,1,Politics
10158312,4746,4324,21539,2163,75.3857,62.0239,0,0,Politics
1016021178,1108808,1,4914,110,100.404,115.551,0,0,Politics
1016153754,4898,4427,224125,37087,67.7386,53.5151,0,0,Politics
10168082,609274,31460,65232,1371,103.636,98.1918,0,1,Politics
101712079,17777,5125,23419,3998,85.9347,85.673,0,1,Politics
101782947,21325,660,7928,5,86.4048,80.1071,0,1,Politics
101802390,147858,278,27460,13354,94.3625,91.2209,0,1,Politics
101803450,80050,40,23411,108,89.5512,70.838,0,1,Politics
1018807597,13443,620,8937,4076,84.3777,81.1161,0,1,Politics
10191,30807,784,10068,1969,88.4758,87.843,0,0,Politics
101915429,4683,1318,13723,3747,79.2671,76.6853,0,1,Politics
1019563982,41823,14954,105113,33396,89.9398,80.7495,0,0,Politics
10197782,10618,297,37807,1009,80.5608,73.2538,0,0,Politics
1020058453,948017,4940,109154,1346,105.689,99.0241,0,1,Politics
102094857,66255,358,58472,1766,91.3231,87.0242,0,1,Politics
102154357,20846,478,769,7423,77.6707,80.6781,0,0,Politics
102184540,5317,1008,3367,142,79.3749,69.794,0,1,Politics
102187929,13690,11094,7962,389,84.6655,82.8734,0,0,Politics
102238997,18454,1379,3099,596,85.0819,85.2579,0,1,Politics
1023072078,2440066,1,3111,1496,108.662,116.943,0,1,Politics
10232022,16845,10684,70766,61363,84.6305,78.5478,0,1,Politics
102355805,983659,542,5087,22150,105.699,104.833,0,1,Politics
1023701772,16183,16054,1118,253,79.4715,63.8833,0,0,Politics
102428464,11773,478,22604,5,71.0866,52.9649,0,0,Politics
1024874562,4410,3817,1226,76,70.2075,68.0684,0,0,Politics
102488708,216050,999,11768,4848,97.705,103.188,0,1,Politics
1025256499,7242,3941,602,45,73.0583,54.9486,0,0,Politics
102566376,7227,2421,27337,4693,81.4336,75.5709,0,1,Politics
1025958342,176627,51,1997,1775,94.9361,84.8283,0,0,Politics
1026199704,5361,5923,11553,1133,78.6416,70.9092,0,0,Politics
102700680,509909,932,31221,14273,98.4292,85.883,0,0,Politics
102707504,395940,245,17097,425,100.507,86.6875,0,1,Politics
102760961,85265,1367,170917,137,93.6203,78.227,0,0,Politics
1027828194,20915,17883,11411,2282,86.1512,72.2542,0,0,Politics
102792727,23568,910,10700,1537,87.321,84.3889,0,1,Politics
