userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
10047382,301852,550,3484,209,98.5051,95.5231,0,1,Religion
100510559,1331,1657,14362,1069,72.9218,59.3712,0,0,Religion
101001225,2237,1390,23934,460,74.1543,61.1587,0,0,Religion
1011267440,4006,3681,5328,952,77.022,70.5938,0,0,Religion
1011414938,3950,3944,33519,14061,78.0325,63.0272,0,0,Religion
1011699356,2438,4113,6842,3499,73.3656,62.2678,0,0,Religion
1013337434,1333,2434,2634,11,64.8694,48.6067,0,0,Religion
1018302277,13402,177,1269,214,79.7431,80.3877,0,1,Religion
101994209,505,43,1140,766,61.4372,59.2793,0,0,Religion
102108884,136660,99250,27146,2912,94.4125,81.1371,0,1,Religion
102224915,7439,6339,18612,2556,80.4384,64.0685,0,0,Religion
1023951542,5314,6,2071,282,73.4709,66.3299,0,0,Religion
102727128,1499,2475,732,241,62.9008,52.6841,0,0,Religion
103068449,979,1522,4396,53,71.4449,62.9791,0,0,Religion
1031328918,527,2169,1141,14,62.4466,56.4382,0,0,Religion
103275606,2823,3140,9374,7897,76.645,72.3927,0,0,Religion
1034665663,315811,402,87047,25699,97.8158,99.8041,0,0,Religion
1038125839,1529,1534,2346,188,70.398,58.4929,0,0,Religion
104022246,1798,1623,3749,68,69.2532,53.0568,0,0,Religion
1043284812,5590,1048,17790,43015,79.0114,73.4389,0,0,Religion
104374118,2410,303,7281,15,74.073,74.7426,0,0,Religion
104593812,1102,1156,3233,104,68.5886,62.5459,0,0,Religion
104655713,528,501,19085,74,68.0681,61.0832,0,0,Religion
1046581518,1727,1698,654,26,62.6566,48.1467,0,0,Religion
104704744,945,1003,1812,57,67.2915,50.9417,0,0,Religion
104778698,45254,788,40356,4235,88.883,92.4298,0,0,Religion
10496902,27050,188,8319,444,87.1794,76.2896,0,1,Religion
1053450787,18014,409,3131,1764,85.615,81.876,0,0,Religion
1053876188,869,1199,34667,24214,69.7745,57.3567,0,0,Religion
105590243,585,311,12554,83,68.1447,66.8948,0,0,Religion
1058431974,319175,83,5986,1186,98.9151,106.504,0,1,Religion
106021590,11661,3890,67293,57352,83.6797,84.3844,0,1,Religion
1063347440,598,718,1710,1567,64.0008,59.1404,0,0,Religion
106463227,6549,1057,9395,8169,71.751,73.0194,0,0,Religion
106991069,1912,595,4741,8,73.0495,58.6635,0,0,Religion
1071840134,1173,1594,3590,1024,70.4762,59.1166,0,0,Religion
107702342,1295,2082,18484,348,72.0193,62.2498,0,0,Religion
107727436,9649,13,17211,10,77.6897,66.0302,0,0,Religion
1078030825,62899,18648,31518,4027,79.4686,54.9709,0,0,Religion
108033583,7709484,150,51247,607,107.92,96.6235,0,0,Religion
1081982948,158995,45599,113015,0,88.7179,77.8215,0,0,Religion
108577950,376798,340,12144,3534,101.164,89.8709,0,1,Religion
108582121,622,1918,3069,3,65.732,50.6854,0,0,Religion
1086609698,22660,633,3427,1281,86.7504,83.0959,0,1,Religion
10870872,75799,1274,67857,5239,92.8846,79.9973,0,0,Religion
1088468984,1147,83,11612,8,67.2525,45.0941,0,0,Religion
108997531,2460,1872,2069,289,69.0085,56.1533,0,0,Religion
109081861,917015,56,9461,21,99.4619,107.215,0,1,Religion
1099847616,37783,33375,100464,52034,86.3952,69.708,0,0,Religion
1102486525,4140,3926,9694,15168,73.9707,68.7963,0,0,Religion
1105828795,8490,5341,6540,3162,81.2745,79.5836,0,0,Religion
11093982,1079,177,3022,682,70.7803,64.07,0,0,Religion
111149550,533230,0,2082,0,91.0526,86.9624,0,0,Religion
111152614,7339,7366,2980,12,79.8466,64.4055,0,0,Religion
111606154,708,1010,981,78,61.5434,54.4985,0,0,Religion
111776989,1518,2522,3291,250,72.7045,57.9356,0,0,Religion
112052402,1829,2185,9775,173,63.9834,46.1312,0,0,Religion
1122553256,78002,515,4083,6231,93.004,92.8409,0,1,Religion
1125394250,5246,4596,864,404,73.1845,59.0232,0,0,Religion
112924655,93272,72224,68021,51,90.9076,66.5969,0,0,Religion
112992248,1586,1064,3541,1987,72.4844,63.1135,0,0,Religion
113288431,887,1872,2044,39,68.0595,58.5646,0,0,Religion
113318373,3714,2,7628,2,70.6214,53.5772,0,0,Religion
113527917,51591,4295,9951,388,85.9783,93.9029,0,0,Religion
113671873,634,628,1733,382,65.7796,62.3488,0,0,Religion
1137329348,961,2202,1658,505,67.5235,52.8908,0,0,Religion
113942824,1050,1174,2333,4,69.5637,56.8869,0,0,Religion
114032410,11765,8548,49234,8359,77.5368,62.5489,0,0,Religion
11456652,8724,515,10235,422,82.3348,75.6901,0,0,Religion
1149464970,3903,3960,55066,6,65.5839,39.0213,0,0,Religion
114961445,591162,75,7836,260,103.152,104.678,0,0,Religion
1154456677,579,1030,6445,7294,65.9564,61.7851,0,0,Religion
115679415,392667,363730,65345,1161,88.6144,56.5229,0,0,Religion
1159518715,11713,306,1007,3517,78.0305,82.4575,0,0,Religion
116533604,1324,1247,673,52,59.3505,47.3978,0,0,Religion
