userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1010355057,78,114589,417,1,1,1,0,20,Singer
1032404935,1425,328456,6785,1,-1,1,0,40,Singer
1034616531,51,1031499,90,1,1,1,0,24,Singer
1036043550,421,1374839,2195,1,-1,1,0,42,Singer
1046216214,602,185981,6744,1,-1,1,0,32,Singer
1046222077,166,2074286,1673,1,1,1,0,33,Singer
1053148552,816,1059951,1390,1,1,1,0,43,Singer
1069550672,866,8041,3428,1,-1,1,0,19,Singer
1079220264,1452,321890,7681,1,-1,1,0,47,Singer
1161133861,398,2062540,4081,1,1,1,0,48,Singer
1172294045,674,6033372,2545,1,-1,1,0,44,Singer
1173544292,435,6791154,1389,1,-1,1,0,38,Singer
1184147805,2126,90257,24173,1,1,1,0,47,Singer
1192336151,627,9116508,2697,1,1,1,0,42,Singer
1194892683,1859,1014802,2556,1,1,1,0,16,Singer
1195230942,637,3340069,6480,1,-1,1,0,41,Singer
1195354434,460,38003566,4666,1,1,1,0,46,Singer
1195676222,3037,192582,37645,1,1,1,0,43,Singer
1196009741,414,141862,3163,1,-1,1,0,41,Singer
1197369013,295,9822459,959,1,1,1,0,35,Singer
1197736024,938,64203,8739,1,1,1,0,30,Singer
1197929090,352,796650,1772,1,-1,1,0,21,Singer
1197931472,675,16962375,3811,1,-1,1,0,48,Singer
1197934181,2803,1122423,17161,1,1,1,0,47,Singer
1197942061,659,140609,873,1,1,1,0,32,Singer
1198174807,125,1123184,1352,1,-1,1,0,20,Singer
1198922365,139,223408,2276,1,-1,1,0,38,Singer
1199275700,525,1090091,1779,1,-1,1,0,27,Singer
1199429884,569,1308383,732,1,1,1,0,35,Singer
1204539127,513,263191,6695,1,1,1,0,48,Singer
1211312541,380,3045856,1291,1,1,1,0,33,Singer
1211347591,282,200706,1090,1,-1,1,0,21,Singer
1211583092,365,96414,1830,1,1,1,0,38,Singer
1211628752,470,11275706,3958,1,1,1,0,43,Singer
1212185734,375,113368,76,1,1,0,0,9,Singer
1213052292,113,561139,1386,1,1,1,0,38,Singer
1213053171,374,1657941,1833,1,-1,1,0,39,Singer
1214305597,2785,504383,3363,1,-1,1,0,37,Singer
1215581372,515,221714,2659,1,1,1,0,39,Singer
1215754724,447,697746,2026,1,-1,1,0,37,Singer
1215787800,316,343920,2599,1,1,1,0,29,Singer
1215865095,555,62232,5432,1,1,1,0,47,Singer
1216416785,744,36201,1254,1,1,1,0,23,Singer
1216428815,454,734831,3156,1,-1,1,0,44,Singer
1217670843,632,1516000,7951,1,-1,1,0,44,Singer
1217933782,206,1567516,2014,1,-1,1,0,38,Singer
1218355240,219,1686146,2098,1,-1,1,0,31,Singer
1219486714,197,115113,2259,1,1,1,0,37,Singer
1220566780,963,730210,3658,1,1,1,0,34,Singer
1223081970,950,4635790,1968,1,1,1,0,33,Singer
1223450301,330,6247189,3154,1,-1,1,0,43,Singer
1223473454,463,29289,710,1,1,1,0,29,Singer
1224001981,2029,9275,2781,1,1,1,0,39,Singer
1224123893,2238,61840,16938,1,1,1,0,30,Singer
1224824100,492,86687,762,1,-1,1,0,31,Singer
1225923717,168,545860,3646,1,-1,1,0,44,Singer
1227094453,299,477164,869,1,1,1,0,27,Singer
1228131382,154,1126599,1977,1,-1,1,0,26,Singer
1228131651,76,239160,1460,1,1,1,0,28,Singer
1228302560,544,98160,2864,1,1,1,0,29,Singer
1228692023,312,23860,518,1,-1,1,0,14,Singer
1230083671,168,522274,505,1,1,1,0,21,Singer
1230928585,386,5058871,1241,1,1,1,0,42,Singer
1233747402,159,405691,1985,1,1,1,0,30,Singer
1233965225,182,674005,314,1,-1,1,0,26,Singer
1234694902,253,2709635,2392,1,1,1,0,43,Singer
1234872834,239,4749112,2911,1,1,1,0,43,Singer
1235437832,1327,38560,7914,1,1,1,0,48,Singer
1236379165,361,1101087,1361,1,1,1,0,39,Singer
1236837097,1506,136104,5909,1,1,1,0,45,Singer
1237530023,347,5627182,5230,1,1,1,0,42,Singer
1237693075,274,2140667,1530,1,1,1,0,39,Singer
1237972487,402,103575,707,1,1,1,0,35,Singer
1237973207,577,884215,2638,1,-1,1,0,32,Singer
1238296465,399,586881,1924,1,1,1,0,30,Singer
1238873395,457,296497,844,1,1,1,0,30,Singer
1239246050,708,38456870,971,1,1,1,0,41,Singer
1240067740,1094,1154797,4490,1,1,1,0,41,Singer
1240959311,640,1117330,3342,1,1,1,0,39,Singer
1241016372,129,206303,39,1,-1,1,0,37,Singer
1241148864,171,48354914,2111,1,1,1,0,40,Singer
1241931415,259,1117619,1230,1,1,1,0,32,Singer
1243333165,442,1026683,1787,1,1,1,0,33,Singer
1243528091,338,9221525,3963,1,1,1,0,34,Singer
1244856617,638,2909251,3216,1,-1,1,0,36,Singer
1244876825,503,5031550,4427,1,-1,1,0,39,Singer
1248483305,329,575113,1686,1,-1,1,0,33,Singer
1248642947,247,15443,3019,1,1,1,0,31,Singer
1249207211,272,6286311,1018,1,-1,1,0,26,Singer
1250458790,1238,205364,4811,1,1,1,0,33,Singer
1250877663,1133,1507566,5188,1,1,1,0,35,Singer
1251312752,664,567745,1084,1,1,1,0,38,Singer
1251403065,500,850034,754,1,1,1,0,41,Singer
1251759695,89,438170,523,1,1,1,0,42,Singer
1252411335,392,775602,6000,1,1,1,0,43,Singer
1253020831,135,1121197,548,1,1,1,0,39,Singer
1253128043,532,2108885,6244,1,1,1,0,35,Singer
1253687460,0,156762,0,1,-1,1,0,11,Singer
1254229425,283,134167,1147,1,1,1,0,21,Singer
1254461195,101,572628,1324,1,-1,1,0,33,Singer
1255003342,388,324477,2178,1,1,1,0,36,Singer
1255250097,352,576651,3382,1,-1,1,0,40,Singer
1255601305,533,492792,2077,1,1,1,0,33,Singer
1255623971,302,249418,260,1,1,1,0,41,Singer
1255708772,557,28891,5322,1,1,1,0,43,Singer
1257816534,563,1482591,2070,1,-1,1,0,43,Singer
1257818405,218,20261177,1672,1,-1,1,0,42,Singer
1260156894,780,2736873,3544,1,-1,1,0,41,Singer
1260256133,170,480204,1541,1,-1,1,0,18,Singer
1261934551,935,1105663,6229,1,1,1,0,48,Singer
1263762522,315,3648999,1452,1,-1,1,0,43,Singer
1264738527,304,1044704,1033,1,1,1,0,29,Singer
1264890570,346,1225842,2029,1,1,1,0,41,Singer
1265317410,26,53485,198,1,1,1,0,24,Singer
1268252377,617,3884310,926,1,-1,1,0,35,Singer
1268293683,0,6420649,969,1,1,1,0,31,Singer
1268356760,693,95261,2610,1,-1,1,0,26,Singer
1268411390,601,3294056,15832,1,1,1,0,42,Singer
1269914405,521,75441,2026,1,1,1,0,23,Singer
1271126443,259,98796,1135,1,1,1,0,28,Singer
1271211057,733,59893,3784,1,1,1,0,45,Singer
1271536891,69,12805,240,1,1,0,0,33,Singer
1272621567,94,806536,889,1,-1,1,0,25,Singer
1273465467,426,472146,2968,1,-1,1,0,43,Singer
