userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
100087260,8114,10159,2791,57,78.9029,48.7494,0,0,Sports
1001286684,23712,443,8043,1387,79.7255,75.6474,0,0,Sports
100165025,1005,729,59994,22012,70.3881,63.5703,0,0,Sports
1001973151,1632,812,1393,885,69.7963,61.1182,0,0,Sports
100199819,7259,576,4520,1113,80.1215,67.4858,0,0,Sports
1002697123,1674,1755,5666,2217,74.0814,68.922,0,0,Sports
1002875832,125507,600,40411,71449,93.0031,94.5936,0,0,Sports
1002926946,1301,2259,2016,2082,70.4272,68.5772,0,0,Sports
1002957294,6305,857,8688,4861,80.6159,85.6094,0,0,Sports
100330475,5378,5551,36540,39,78.7628,82.7654,0,0,Sports
1003489878,1297,805,2450,697,70.5595,58.5146,0,0,Sports
100351634,4942,719,6660,116,79.5104,71.7102,0,1,Sports
1003958563,1922,1558,2233,123,72.8425,65.0809,0,0,Sports
1004174606,5576,585,10373,4188,80.0995,75.2486,0,0,Sports
100559151,1052,685,27282,3411,70.458,68.6864,0,0,Sports
100605608,989,2169,928,674,64.8495,58.2914,0,0,Sports
100606370,104296,9776,22998,66099,82.024,56.6686,0,1,Sports
100615544,1476,2463,1743,537,69.9769,61.8368,0,0,Sports
100615967,12706,456,11394,43,83.626,78.2312,0,0,Sports
1006232250,13607,6371,21648,16623,83.3795,78.4773,0,1,Sports
100649666,675850,687,86188,11665,102.216,100.031,0,1,Sports
100680851,4283,2520,2154,4,73.2061,54.5964,0,0,Sports
1006876543,1656,248,872,324,66.4723,60.2891,0,0,Sports
100722031,1039,1796,5474,193,68.1469,57.2367,0,0,Sports
1007240498,7088,7693,34565,13467,80.7229,74.1288,0,0,Sports
1008234565,60665,4603,7317,1826,91.6765,75.1831,0,0,Sports
100846979,4013,4994,101313,1407,78.0834,74.0425,0,0,Sports
100875041,4124,615,32211,9914,77.9164,67.8221,0,0,Sports
1008769416,1821313,214,196231,25,104.785,99.353,0,0,Sports
1008846972,3421,207,15267,2241,73.5934,59.0963,0,0,Sports
1009396640,94822,572,8672,10776,92.6204,93.5846,0,1,Sports
100993040,1655,2492,16928,3271,73.8653,68.0866,0,0,Sports
101025786,4921,3213,7713,1411,78.9929,73.3795,0,0,Sports
101043330,25317,85,5689,7,87.1651,77.8139,0,0,Sports
1010560910,3200,2701,46880,955,77.1441,64.9674,0,0,Sports
101071633,27721,318,13984,11,88.1391,80.2576,0,1,Sports
101158175,1633,1715,5619,1131,72.8071,65.6506,0,0,Sports
1012098302,68816,579,27099,12625,89.7437,91.9598,0,0,Sports
1012744093,1017,641,30046,21371,70.4144,67.2205,0,0,Sports
1012824523,310760,33,1108,12288,86.4321,85.7949,0,0,Sports
1013399942,102173,27,17680,4206,94.5719,91.8842,0,1,Sports
101389114,1810,993,15497,6356,74.3879,73.7955,0,0,Sports
1013897730,7886,96,31779,2067,79.7417,77.0042,0,0,Sports
101411341,12219,399,129309,5405,83.7955,56.0922,0,0,Sports
1015341283,1118,445,959,481,65.3105,61.3538,0,0,Sports
101566422,469485,1512,61211,96,98.9684,94.9747,0,1,Sports
1016124266,1574,1504,20836,1535,72.4728,65.7738,0,0,Sports
1016190138,1119,299,40012,64745,72.003,69.9309,0,0,Sports
1016362003,4324,442,5173,138,78.5574,75.8652,0,1,Sports
101655199,1169,1540,6552,740,70.8668,54.4247,0,0,Sports
1017515348,222111,131,1305,1234,90.0117,105.303,0,0,Sports
101782028,1331,767,5205,1638,69.2396,74.0878,0,0,Sports
10178852,7300,6535,83360,14171,81.3856,77.5457,0,0,Sports
101848882,8562,931,10024,16372,81.5595,78.0764,0,0,Sports
101852530,1625,618,25395,405,71.3731,68.4299,0,0,Sports
101855008,93918,32,1153,92,84.6996,68.3997,0,0,Sports
1019188722,43079,67,18079,187,87.4524,88.9543,0,1,Sports
1019803969,9465,688,1364,368,77.939,78.2272,0,1,Sports
1019981622,1252,473,2166,750,70.33,62.7816,0,0,Sports
1020086503,2662,1905,10482,11906,75.8692,70.7241,0,0,Sports
1020088188,1542,456,950,610,67.4594,64.2516,0,0,Sports
102027317,5358,233,3414,296,78.1695,73.4234,0,0,Sports
102061698,156818,3852,50534,5302,96.789,91.0673,0,1,Sports
102067248,2571,724,25471,541,75.7725,71.2199,0,0,Sports
102104262,27715,3024,35032,14406,86.8215,80.4017,0,1,Sports
102104831,41040,208,13735,3058,89.2407,81.6778,0,1,Sports
102150851,969,2058,11286,1389,70.0289,66.4835,0,0,Sports
102153363,1459,326,5480,243,72.9238,70.5362,0,0,Sports
1022271126,1055,1063,1899,3022,68.6537,64.9721,0,0,Sports
102237401,9275,1073,13695,18753,80.4102,83.8686,0,0,Sports
102241754,1882,568,66943,47,70.5715,75.5839,0,0,Sports
1022879119,1468,1955,613,198,65.0678,56.1098,0,0,Sports
1022904002,3225,729,8749,3663,77.2939,63.5527,0,0,Sports
1023096199,1994431,290,31417,6062,104.839,103.698,0,1,Sports
1023128869,66824,876,33718,11265,90.9412,96.7812,0,0,Sports
102323621,1091426,2367,10270,897,106.082,113.339,0,1,Sports
102358699,4169,904,7927,28,71.5659,53.348,0,0,Sports
102392496,101481,586,10828,3084,92.7052,83.8248,0,1,Sports
1023986538,2759,3620,3194,2298,76.5584,70.7422,0,0,Sports
1024031046,2879,2725,26592,1908,76.1093,67.0021,0,0,Sports
102415834,63942,292,7062,8436,92.0325,83.7254,0,1,Sports
1024449578,6069,4615,69205,7795,80.1293,74.4128,0,0,Sports
1024456668,13926,1742,53164,12097,83.9658,77.9149,0,0,Sports
102491510,1350,1880,9276,5192,72.4876,71.6704,0,0,Sports
102648051,5444,5945,5411,162,77.8753,68.5523,0,0,Sports
10268122,176124,96,1359,491,92.4552,86.1414,0,1,Sports
1027372476,44977,128,11138,4882,86.3103,75.9285,0,0,Sports
102777186,3706,70,596,0,61.6419,34.0071,0,0,Sports
102819523,274087,101,789,27,91.4681,90.0198,0,1,Sports
1028656555,1373,3522,7348,4856,70.1424,55.505,0,0,Sports
1028754734,1655,1217,14594,747,73.5561,71.2939,0,0,Sports
1028821386,37796,84,30337,237,87.529,81.2342,0,0,Sports
1029142980,1092325,726,17784,9440,104.659,102.475,0,1,Sports
1029313621,2067,2155,27508,24857,74.4695,68.9949,0,0,Sports
1029384854,997,849,15973,644,70.9372,62.8057,0,0,Sports
1029914870,238913,69893,10456,24778,89.6863,99.1825,0,0,Sports
103053196,158415,261,13264,6318,96.2606,89.3018,0,1,Sports
103064464,1327,2358,34980,14991,72.247,63.88,0,0,Sports
103079525,14425,15668,68474,89672,83.6047,72.0831,0,0,Sports
103087666,27931,89,3443,881,84.7369,74.5081,0,0,Sports
1031256439,1041,909,12223,1815,71.621,70.264,0,0,Sports
103187439,4359,308,86950,64615,78.2741,90.2033,0,0,Sports
1031985290,1819,1938,8335,21300,72.9433,61.9666,0,0,Sports
103220908,354951,46,52292,33,90.3273,60.5886,0,1,Sports
1034212615,1072,1643,6737,1334,69.5572,66.5452,0,0,Sports
1034268901,8257,189,5399,1037,79.336,72.0798,0,0,Sports
1034272404,3234,3425,3279,38,64.6487,38.2843,0,0,Sports
1034362184,1304,987,29749,10875,72.3135,69.6386,0,0,Sports
103451677,1379,930,2161,8550,67.6373,64.9533,0,0,Sports
1034699942,1476,1800,18955,4641,71.8319,57.3931,0,0,Sports
103480936,1021,208,1348,503,67.2129,61.8042,0,0,Sports
1035179107,1831,14,44762,53,70.7914,52.7287,0,0,Sports
103524205,127945,89,17920,2388,95.7167,78.4673,0,1,Sports
103594743,3089,3030,8933,1175,77.0224,67.8653,0,0,Sports
1036325418,335756,703,4629,0,99.8805,102.042,0,1,Sports
1036909034,1474,1330,9913,4162,72.6656,69.8865,0,0,Sports
10373972,145873,851,32589,1603,91.7578,83.861,0,1,Sports
1037906773,1123,834,11590,5739,71.9033,73.7628,0,0,Sports
1038237384,2720,1472,3286,1042,76.0819,79.2198,0,0,Sports
1038401244,2367,1528,31675,4391,75.3954,66.0124,0,0,Sports
103847953,1109,1836,17105,1057,71.6965,67.6725,0,0,Sports
103868647,2574,1718,5782,1299,76.2529,74.4838,0,1,Sports
1039793112,1014,1604,4484,3779,71.0472,65.557,0,0,Sports
10399342,1232,719,81512,614,67.7375,61.4161,0,0,Sports
104063340,197704,586,17413,11094,97.9638,91.2198,0,1,Sports
104086983,230072,2251,13035,12917,97.1302,101.115,0,1,Sports
104090735,2303,2230,23652,10339,75.0229,71.4844,0,0,Sports
104191866,11662,714,6168,5639,82.1445,70.7915,0,1,Sports
104233289,4764,2464,11142,8,78.659,68.7916,0,0,Sports
104298598,407127,194,3673,4,96.5459,93.6341,0,1,Sports
104374310,247627,1526,628,295,90.6601,92.6986,0,1,Sports
1043772068,724546,97,30873,1581,91.7248,82.8642,0,0,Sports
1044041167,1580,898,3085,913,73.3753,74.7653,0,0,Sports
1044051920,2927,505,1625,3809,73.5103,74.4469,0,1,Sports
104413966,2790,125,2162,333,74.063,72.4791,0,0,Sports
1044164864,1147,1848,3882,274,71.6545,64.3774,0,0,Sports
104450912,372813,195,54078,0,101.091,90.58,0,1,Sports
1045521,4616,738,24944,8,75.4512,68.775,0,0,Sports
104559178,7996,8465,1748,116,76.7272,60.1991,0,0,Sports
104774697,1887,397,2133,60,71.9574,63.6106,0,0,Sports
104799443,9013,600,3755,294,82.4002,73.2861,0,0,Sports
104799646,471755,519,34561,2327,101.648,94.9872,0,1,Sports
104800468,1135,1041,9497,939,70.9286,69.9975,0,0,Sports
104862022,1858,1618,33400,5638,73.6467,69.9332,0,0,Sports
1048880642,189745,1011,12380,8502,92.027,96.2377,0,1,Sports
104894363,1054,1023,47517,2040,71.3638,67.6125,0,0,Sports
1048960958,99681,247,1395,1120,88.8031,84.7906,0,1,Sports
104925977,3726,1240,3013,1921,76.0503,71.6333,0,0,Sports
1049881561,1902,701,9425,6614,74.0876,72.5447,0,0,Sports
1049971880,1021,731,4838,6862,70.4274,67.7764,0,0,Sports
10503302,240298,8224,39333,11615,94.7637,77.1298,0,1,Sports
1051071474,968,717,2203,1756,69.2668,65.114,0,0,Sports
1051316490,1568,154,1431,282,68.152,60.0539,0,0,Sports
105136087,359241,8938,15069,6144,96.4948,92.3264,0,1,Sports
1051406972,20857,0,992,0,70.4297,54.3499,0,0,Sports
105179358,13893,733,25779,527,76.0826,67.9078,0,0,Sports
105198761,19495,715,6652,0,82.9688,73.5181,0,0,Sports
105210222,647968,277,7672,644,103.953,99.4286,0,1,Sports
105211981,727571,129,14613,226,99.5972,91.9466,0,1,Sports
10521362,54390,9169,100051,1349,89.427,69.1096,0,0,Sports
105214616,1872,2119,5205,125,72.88,62.6734,0,0,Sports
105220309,3942,1432,50075,11754,77.0902,71.9558,0,0,Sports
105229843,2254,420,696,510,66.8994,52.5703,0,0,Sports
105251590,2585841,1289,30583,20507,107.51,105.669,0,1,Sports
105264392,4995,5236,41936,75331,79.022,74.6858,0,0,Sports
1052648678,1344,2435,4960,2047,71.3184,66.2564,0,0,Sports
105293348,198432,38,1942,647,94.7945,91.2806,0,1,Sports
105296218,2975739,1224,18687,1786,111.107,102.554,0,1,Sports
105297123,4936781,303,264414,2095,112.104,104.049,0,1,Sports
1053093704,136205,485,6013,8361,94.9701,98.3731,0,0,Sports
1053411019,71712,605,1000,12024,84.1021,89.0636,0,0,Sports
1053578972,191600,444,13026,1177,97.765,90.9224,0,1,Sports
1053789554,144365,85152,21662,6386,95.7255,81.457,0,0,Sports
