userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
10009512,825,385,3718,822,70.2851,66.001,0,0,Technology
100292002,76798,4125,17516,1225,91.8028,82.0363,0,0,Technology
100387585,9788,103,2760,322,82.0465,78.7826,0,0,Technology
100394466,51498,18,4730,59,89.2855,95.1151,0,0,Technology
100472374,1181,950,3701,3204,70.9746,67.3626,0,0,Technology
1005006061,1054,742,1028,582,65.9854,57.1264,0,0,Technology
1005007464,5396,4139,2409,1594,78.4905,66.5034,0,0,Technology
100564168,23497,1226,18161,13169,87.1745,81.4611,0,0,Technology
1005754975,681,71,1431,819,63.1081,53.8271,0,0,Technology
10059592,972,1602,2644,264,69.0312,54.658,0,0,Technology
1006521,11958,475,16074,1138,81.6215,79.0331,0,1,Technology
100663487,725,558,29304,1707,69.7982,61.1478,0,0,Technology
1006732688,1049,376,739,368,63.8518,56.8535,0,0,Technology
1006896248,5369,5795,7080,191,77.8582,70.7317,0,0,Technology
10069172,64141,436,9460,1485,91.8528,86.285,0,0,Technology
100763653,1618,138,61714,2137,72.6102,65.9621,0,0,Technology
1007885498,4730,969,1815,325,76.1407,67.8042,0,0,Technology
1008200232,801,372,2267,19,67.2368,63.7038,0,0,Technology
1008384817,9555,367,2442,5396,80.1716,71.4972,0,1,Technology
100894218,47401,0,10886,2,85.6606,67.2398,0,0,Technology
10094272,5698,232,23768,176,77.4634,68.2078,0,0,Technology
1009592004,136525,119126,32768,7950,94.2609,72.485,0,0,Technology
10098232,3788,129,558,78,69.2033,57.9751,0,0,Technology
100983645,5748,503,6677,3686,80.182,79.862,0,1,Technology
1010445590,1987,290,523,213,65.0143,62.7217,0,0,Technology
101088509,43959,44684,9486,1,83.8696,57.8211,0,0,Technology
1011915908,1926,52,3732,701,67.9239,56.5201,0,0,Technology
1012226635,2054,62,680,11,67.2007,59.3287,0,0,Technology
101305838,947,478,1562,576,67.6239,64.9016,0,0,Technology
101354595,7141,5249,4704,6185,79.8713,78.0758,0,0,Technology
1013938808,3809,5000,11858,5404,77.6391,58.3418,0,0,Technology
10142892,1230,949,4713,444,71.7553,61.9742,0,0,Technology
101437210,85573,12857,753055,13050,92.0634,68.8945,0,0,Technology
10157572,3636,812,1539,4,74.1862,65.9194,0,0,Technology
1015815756,1034,1464,3170,957,70.2928,59.9834,0,0,Technology
101584084,368129,12757,21621,65847,100.554,100.351,0,0,Technology
101598894,990,3600,4797,1727,70.1597,60.1235,0,0,Technology
10169382,820,263,2532,122,66.3667,54.8,0,0,Technology
101750688,1619,1787,638,62,62.7928,49.8154,0,0,Technology
1017921,979,515,3063,785,67.9919,61.4563,0,0,Technology
10180322,2197,1637,4287,1160,74.4302,75.6304,0,0,Technology
101909973,1778,1661,26421,0,61.6718,38.477,0,0,Technology
10194392,71272,800,129588,8298,92.0256,82.3115,0,1,Technology
10194682,378403,1240,18919,4331,98.9915,91.5815,0,1,Technology
102010530,2130,198,2587,222,74.2361,65.4781,0,0,Technology
10202,353333,490,160118,434,96.2583,78.1479,0,1,Technology
102029096,42820,1894,13314,1710,85.3985,70.4438,0,1,Technology
1020639606,3574,200,5810,12204,77.9597,73.4005,0,0,Technology
10209392,15147,208,19501,2118,81.8867,82.8547,0,0,Technology
102100561,2701,1345,2955,996,75.6065,67.0283,0,0,Technology
10211472,25999,987,44263,871,83.8053,89.2084,0,0,Technology
1021423004,1383,461,609,62,62.1155,49.1705,0,0,Technology
10215872,2036,655,11858,24,74.0501,76.2653,0,0,Technology
102176926,4988,4134,1164,207,73.498,61.2681,0,0,Technology
102189385,1368,66,3410,1,71.3493,65.2458,0,0,Technology
102205557,1127,1201,7777,11454,70.1494,64.848,0,0,Technology
1022110370,5284,900,4154,5111,79.3865,71.2219,0,0,Technology
10226672,7457,5365,15748,347,76.7291,61.0237,0,0,Technology
1023016080,1607,2299,6275,10111,73.6993,66.9519,0,0,Technology
1023070422,1235,1427,6969,468,67.2825,49.2577,0,0,Technology
102321171,5366,427,149520,242,78.4598,77.1522,0,0,Technology
102375372,144999,1090,1483,11,89.7531,66.4774,0,0,Technology
10241062,1148,1012,8389,1439,71.3015,74.5294,0,0,Technology
1024244078,52961,25037,8902,2382,91.0356,92.6949,0,1,Technology
10245732,1420,762,4718,1687,73.3255,72.5613,0,0,Technology
10245972,1334,1564,2937,2165,72.379,67.453,0,0,Technology
10257182,93325,2269,4132,4223,93.6811,90.9975,0,1,Technology
102580213,12617,329,1169,2026,78.0402,64.3563,0,0,Technology
102583092,8383,8966,3578,0,69.4185,39.8054,0,0,Technology
10263292,634,1518,3600,732,67.7047,57.4667,0,0,Technology
1026350821,1076,1393,3766,714,71.425,59.3594,0,0,Technology
10263822,5051,2621,14535,538,78.4194,70.8531,0,0,Technology
102685260,3210,1683,6889,1802,75.2324,66.0884,0,0,Technology
1026965654,37734,279,3526,475,88.5287,80.6291,0,1,Technology
1027033741,18245,5282,5629,15194,86.0906,81.1574,0,0,Technology
102707523,1289,960,1775,342,69.0894,54.1691,0,0,Technology
102719975,25138,294,3047,374,87.2931,87.0852,0,1,Technology
1027213064,1974,4749,741,10,67.2851,55.5785,0,0,Technology
