userid,friends,followers,statuses,favourites,gender,verified,city,urank,category
1000161732,106,233,1825,6,-1,0,1,7,Common
1000499340,359,112,130,403,1,0,1,7,Common
1000777711,27,19,132,0,1,0,5,7,Common
1001001702,40,48,522,0,1,0,1,7,Common
1001336914,185,248,961,82,1,0,1,7,Common
1001628504,245,369770,710,1,1,1,3,30,CEO
1001846694,495,188,4084,0,1,0,6,7,Common
1002024505,123,63,1547,8,-1,0,1000,7,Common
1002872520,88,67,845,4,1,0,16,7,Common
1003786004,41,74,999,2,1,0,2,7,Common
1003936655,108,128,622,1,1,0,9,7,Common
1004338503,605,269,3057,8,-1,0,1000,7,Common
1004489241,419,201,610,9,-1,0,1,7,Common
1004797765,118,122,2212,9,-1,0,2,7,Common
1005021302,274,294,2693,90,1,0,1,7,Common
1005281677,1349,33406,6,1,1,1,3,22,CEO
1005752501,506,162586,3449,1,1,1,3,25,CEO
1006378673,159,206,3183,9,-1,0,9,7,Common
1006812050,47,47,48,0,1,0,1,7,Common
1006844010,63,159,540,0,1,0,9,7,Common
1007343817,503,2100160,1496,1,1,1,3,41,CEO
1007427173,30,29,80,2,-1,0,1000,7,Common
1007450337,261,186,1018,2326,1,0,1000,7,Common
1007583212,76,108,773,0,1,0,15,7,Common
1007883571,229,266,1326,314,-1,0,8,7,Common
1008209992,15,42,671,108,1,0,1,7,Common
1008910877,1027,166,2124,35,1,0,1,7,Common
1009323747,151,92,270,265,-1,0,1,7,Common
1009748597,327,1719018,2634,1,1,1,3,35,CEO
1010355057,78,114589,417,1,1,1,0,20,Singer
1010432475,217,283,1523,0,1,0,15,7,Common
1010536397,4,34,10,0,1,0,1000,7,Common
1010871421,125,8,46,0,1,0,1000,7,Common
1011004264,513,93,645,58,1,0,17,7,Common
1011506852,28,35,201,9,1,0,15,7,Common
1011547987,40,245,4099,135,1,0,1000,7,Common
1012018382,61,53,1608,101,-1,0,1,7,Common
1012854700,86,193,6,20,-1,0,1000,7,Common
1012903830,495,162,3618,0,1,0,15,7,Common
1013449064,513,183004,3962,1,-1,1,0,35,Director
1013626677,382,96,402,262,1,0,1,7,Common
1013851774,997,7255,5014,1,-1,1,0,28,Director
1013903020,131,126,1560,2,1,0,8,7,Common
1013976297,68,134,985,84,-1,0,1,7,Common
1014243974,98,243,1273,27,-1,0,1,7,Common
1015058043,165,235,1003,10,1,0,7,7,Common
1016086473,289,179,2559,375,1,0,1000,7,Common
1016139451,278,189,260,0,1,0,3,7,Common
1016973574,330,269,3050,2470,-1,0,1000,7,Common
1017344325,130,45,987,4,-1,0,3,7,Common
1017750200,366,34,2360,1,1,0,4,7,Common
1018021102,472,704841,2448,1,1,1,0,39,Director
1018356553,776,126291,11515,1,-1,1,3,31,CEO
1018457567,119,214,391,4,-1,0,10,7,Common
1018499245,115,43,1716,55,1,0,1,7,Common
1018709801,27,73,389,5,1,0,2,7,Common
1018824972,481,97,5093,630,1,0,2,7,Common
1019352152,248,256,1981,2,1,0,1,7,Common
1019696657,85,110,4068,5,1,0,3,7,Common
1020701123,48,220,633,5,1,0,1000,7,Common
1021163274,77,82,228,4,-1,0,1,7,Common
1021392481,108,143,545,43,1,0,1000,7,Common
1021840402,95,94,694,5,1,0,1,7,Common
1023474994,50,119,2610,47,-1,0,2,7,Common
1024398294,351,138,2443,102,1,0,3,7,Common
1024747422,160,216,1850,132,-1,0,1000,7,Common
1025889294,7,6,7969,135,1,0,8,7,Common
1025925754,220,237,4271,885,-1,0,2,7,Common
1026183134,333,326989,683,1,-1,1,3,43,CEO
1026705224,306,92,1111,24,-1,0,6,7,Common
1026761082,128,136,2291,14,-1,0,5,7,Common
1027471301,21,24,362,0,-1,0,1,7,Common
1028094453,781,19421,17850,1,1,1,3,29,CEO
1028110133,24,98,378,6,1,0,1000,7,Common
1028725893,157,93,46,10,1,0,10,7,Common
1028951395,993,180,281,0,1,0,1,7,Common
1029185802,129,20,911,29,1,0,1000,7,Common
1029662177,213,126,1675,3,1,0,1,7,Common
1029666630,233,89,298,0,1,0,1000,7,Common
1030388880,114,137,125,2,-1,0,1,7,Common
1030723091,48,157,556,1,1,0,15,7,Common
1030905240,223,180,2739,155,1,0,1,7,Common
1031241325,236,60,1800,12,1,0,2,7,Common
1031595904,1008,12625,1160,1,1,1,0,18,Director
1031622175,288,144,79,0,-1,0,1,7,Common
1032012141,297,212,817,108,1,0,1000,7,Common
1032067430,80,65,754,43,-1,0,1000,7,Common
1032175334,182,241,2952,0,1,0,1,7,Common
1032404935,1425,328456,6785,1,-1,1,0,40,Singer
1032544627,93,82,3744,8,1,0,15,7,Common
1032697364,1223,24927,4360,1,1,1,0,34,Director
1033212031,1299,70267,17522,1,1,1,0,31,Director
