userid,followers,friends,statuses,favourites,activity,influence,protected,verified,category
1000132999,36966,1501,41705,1011,84.7016,74.9675,0,0,Entertainment
100020413,175608,234,27403,2913,97.33,97.246,0,1,Entertainment
100024370,13194,275,70142,14684,84.2894,80.063,0,1,Economy
1000262514,853292,0,512,157,92.7808,95.4945,0,0,Entertainment
1000591,622849,1166,14782,23852,99.45,87.2914,0,1,Politics
1000677594,6428,6364,17984,22300,80.4371,69.2408,0,0,Entertainment
100077645,2247545,11328,55313,78271,106.941,94.4876,0,1,Entertainment
100087260,8114,10159,2791,57,78.9029,48.7494,0,0,Sports
10009512,825,385,3718,822,70.2851,66.001,0,0,Technology
1001009784,2146,3359,25613,12438,74.7618,81.3658,0,0,Military
100110935,17486,3800,27069,2546,83.2658,64.778,0,0,Entertainment
1001154942,1184,2052,3404,269,72.3557,60.8434,0,0,Agriculture
10012122,2365450,363,189289,828,107.548,97.7761,0,1,Entertainment
100123158,313454,2202,38837,105,98.7667,90.6343,0,1,Entertainment
1001286684,23712,443,8043,1387,79.7255,75.6474,0,0,Sports
100136358,78154,1040,266346,345,93.176,98.3346,0,1,Politics
100165025,1005,729,59994,22012,70.3881,63.5703,0,0,Sports
1001701014,15165,5046,82873,146,78.341,56.9341,0,0,Military
100177989,20162,7286,6698,722,86.1955,71.3463,0,0,Entertainment
1001973151,1632,812,1393,885,69.7963,61.1182,0,0,Sports
1001995633,562,355,973,200,61.6772,50.5753,0,0,Economy
100199819,7259,576,4520,1113,80.1215,67.4858,0,0,Sports
1002014071,10932,856,1865,153,80.3902,81.0305,0,0,Politics
100207042,29500,46,69443,237,87.643,82.0866,0,0,Entertainment
1002115166,5127,4476,28649,5736,79.5924,70.4038,0,0,Entertainment
100220864,31313114,107,3915,102,122.405,135.584,0,1,Entertainment
1002351,50926,4878,57539,3837,91.0943,94.8303,0,1,Politics
100250921,16395,889,99493,138093,84.5204,85.4714,0,1,Politics
1002513128,74340,33256,30417,28773,90.1327,82.0473,0,0,Agriculture
100252664,4724,2372,9972,432,74.475,65.8951,0,0,Politics
100253123,2115,3425,17963,11711,74.9785,68.1186,0,0,Military
100254425,28658,21076,24128,199,85.9935,80.8396,0,0,Entertainment
10025982,227709,176,98768,488,98.7347,84.4115,0,1,Politics
100260784,10660,404,1882,389,80.3653,71.5458,0,1,Politics
1002697123,1674,1755,5666,2217,74.0814,68.922,0,0,Sports
1002875832,125507,600,40411,71449,93.0031,94.5936,0,0,Sports
100292002,76798,4125,17516,1225,91.8028,82.0363,0,0,Technology
1002926946,1301,2259,2016,2082,70.4272,68.5772,0,0,Sports
1002957294,6305,857,8688,4861,80.6159,85.6094,0,0,Sports
1002967862,608,598,582,585,60.4996,49.0881,0,0,Agriculture
100322679,1318514,1308,3822,767,106.999,107.495,0,1,Entertainment
10032712,344539,96,20617,2906,100.162,85.3176,0,1,Agriculture
100330475,5378,5551,36540,39,78.7628,82.7654,0,0,Sports
1003341768,901,1328,1401,1722,66.7318,58.9915,0,0,Agriculture
100338893,353501,269086,145884,0,99.8493,84.1266,0,0,Entertainment
1003477903,4571,4427,2327,20397,76.9023,73.5761,0,0,Entertainment
1003489878,1297,805,2450,697,70.5595,58.5146,0,0,Sports
100351634,4942,719,6660,116,79.5104,71.7102,0,1,Sports
100381991,501131,3003,500241,1308,97.6477,70.223,0,1,Entertainment
100387585,9788,103,2760,322,82.0465,78.7826,0,0,Technology
100394466,51498,18,4730,59,89.2855,95.1151,0,0,Technology
1003958563,1922,1558,2233,123,72.8425,65.0809,0,0,Sports
1004174606,5576,585,10373,4188,80.0995,75.2486,0,0,Sports
100454563,16359,4,38535,0,72.7518,49.2276,0,0,Economy
1004570624,1782,1465,3785,148,73.6216,59.7461,0,0,Economy
100472374,1181,950,3701,3204,70.9746,67.3626,0,0,Technology
10047382,301852,550,3484,209,98.5051,95.5231,0,1,Religion
1004876916,113535,93762,17712,20570,94.5541,92.7798,0,1,Entertainment
1005006061,1054,742,1028,582,65.9854,57.1264,0,0,Technology
1005007464,5396,4139,2409,1594,78.4905,66.5034,0,0,Technology
100510559,1331,1657,14362,1069,72.9218,59.3712,0,0,Religion
1005126732,6437,5993,61153,2176,80.838,71.0161,0,0,Politics
100517876,3028,49,757,107,69.0719,65.1666,0,0,Economy
100552542,9433,1090,11834,22738,82.5916,90.0429,0,0,Politics
100559151,1052,685,27282,3411,70.458,68.6864,0,0,Sports
100563581,5131882,1576,89660,989,114.227,96.5127,0,0,Entertainment
100564168,23497,1226,18161,13169,87.1745,81.4611,0,0,Technology
100571765,1226,278,745,123,65.2661,60.8106,0,0,Agriculture
1005754975,681,71,1431,819,63.1081,53.8271,0,0,Technology
10059592,972,1602,2644,264,69.0312,54.658,0,0,Technology
100603066,7477,2775,27601,3133,79.4193,86.3609,0,0,Politics
